early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,ONL,ORION PROPERTIES INC,RUSSELL2000,Real Estate,81.96,100.0,fresh_bullish_cross,88.8,fresh_above_zero_cross_proxy,74.61,49.17,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
326,PDLB,PONCE FINANCIAL GROUP INC,NASDAQ+RUSSELL2000,Financials,63.37,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,64.19,47.09,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
327,ABG,ASBURY AUTOMOTIVE GROUP INC,RUSSELL2000,Consumer Discretionary,63.36,82.0,early_transition,61.8,bullish_above_signal_proxy,55.07,45.26,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
328,WTTR,SELECT WATER SOLUTIONS INC CLASS A,RUSSELL2000,Energy,63.36,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,64.15,47.08,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
329,KGS,KODIAK GAS SERVICES INC,RUSSELL2000,Energy,63.33,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,64.07,47.06,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
330,NBHC,NATIONAL BANK HOLDINGS CORP CLASS,RUSSELL2000,Financials,63.33,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,64.07,47.06,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
331,ACH,ACCENDRA HEALTH INC,RUSSELL2000,Health Care,63.32,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,63.58,47.97,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
332,RICK,RCI HOSPITALITY HOLDINGS INC,NASDAQ+RUSSELL2000,Consumer Discretionary,63.31,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,64.0,47.05,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
333,TWIN,TWIN DISC INC,NASDAQ+RUSSELL2000,Industrials,63.3,75.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,54.25,12.23,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.6 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
334,TNXP,TONIX PHARMACEUTICALS HOLDING CORP,NASDAQ+RUSSELL2000,Health Care,63.29,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,47.12,44.67,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
335,WGO,WINNEBAGO INDUSTRIES INC,RUSSELL2000,Consumer Discretionary,63.29,82.0,early_transition,49.8,bullish_below_zero_proxy,63.96,47.04,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
336,HOMB,HOME BANCSHARES INC,RUSSELL2000,Financials,63.28,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,63.92,47.03,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
337,IIIV,I3 VERTICALS INC CLASS A,NASDAQ+RUSSELL2000,Information Technology,63.26,85.0,early_transition,49.8,bullish_below_zero_proxy,61.12,46.47,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
338,MBWM,MERCANTILE BANK CORP,NASDAQ+RUSSELL2000,Financials,63.23,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,63.76,47.0,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
339,XRAY,DENTSPLY SIRONA INC,NASDAQ+RUSSELL2000,Health Care,63.23,82.0,early_transition,49.8,bullish_below_zero_proxy,63.31,47.91,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
340,DORM,DORMAN PRODUCTS INC,NASDAQ+RUSSELL2000,Consumer Discretionary,63.21,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,63.72,46.99,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
341,GFF,GRIFFON CORP,RUSSELL2000,Industrials,63.21,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,63.7,46.99,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
342,SAFT,SAFETY INSURANCE GROUP INC,NASDAQ+RUSSELL2000,Financials,63.19,82.0,early_transition,49.8,bullish_below_zero_proxy,63.66,46.98,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
343,TBPH,THERAVANCE BIOPHARMA INC,NASDAQ+RUSSELL2000,Health Care,63.19,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,69.55,49.16,3.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
344,BATRK,ATLANTA BRAVES HOLDINGS INC SERIES,NASDAQ+RUSSELL2000,Communication,63.18,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,63.62,46.97,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
345,CBLL,CERIBELL INC,NASDAQ+RUSSELL2000,Health Care,63.14,82.0,early_transition,49.8,bullish_below_zero_proxy,63.04,47.86,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
346,PTLO,PORTILLO S INC CLASS A,NASDAQ+RUSSELL2000,Consumer Discretionary,63.14,82.0,early_transition,49.8,bullish_below_zero_proxy,63.51,46.95,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
347,PRME,PRIME MEDICINE INC,NASDAQ+RUSSELL2000,Health Care,63.09,85.0,early_transition,51.15,bullish_below_zero_proxy,59.12,47.07,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
348,COUR,COURSERA INC,RUSSELL2000,Consumer Discretionary,63.08,82.0,early_transition,49.8,bullish_below_zero_proxy,63.32,46.91,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
349,IBTA,IBOTTA INC CLASS A,RUSSELL2000,Communication,63.07,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,46.9,43.63,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
350,IBOC,INTERNATIONAL BANCSHARES CORP,NASDAQ+RUSSELL2000,Financials,63.05,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,63.22,46.89,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
351,TOWN,TOWNEBANK,NASDAQ+RUSSELL2000,Financials,63.02,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,63.14,46.88,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
352,ISTR,INVESTAR HOLDING CORP,NASDAQ+RUSSELL2000,Financials,63.01,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,63.11,46.87,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
353,CURB,CURBLINE PROPERTIES,RUSSELL2000,Real Estate,62.97,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.98,46.85,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
354,OBK,ORIGIN BANCORP INC,RUSSELL2000,Financials,62.97,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.98,46.85,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
355,ABCB,AMERIS BANCORP,RUSSELL2000,Financials,62.94,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.89,46.83,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
356,BANC,BANC OF CALIFORNIA INC,RUSSELL2000,Financials,62.92,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.82,46.81,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
357,NBTB,NBT BANCORP INC,NASDAQ+RUSSELL2000,Financials,62.91,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.8,46.81,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
358,EBF,ENNIS INC,RUSSELL2000,Industrials,62.89,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.74,46.8,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
359,SI,SHOULDER INNOVATIONS INC,RUSSELL2000,Health Care,62.88,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,55.25,11.89,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
360,EGBN,EAGLE BANCORP INC,NASDAQ+RUSSELL2000,Financials,62.87,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.68,46.79,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
361,WSFS,WSFS FINANCIAL CORP,NASDAQ+RUSSELL2000,Financials,62.87,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.67,46.78,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
362,SPB,SPECTRUM BRANDS HOLDINGS INC,RUSSELL2000,Consumer Staples,62.83,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.1,47.67,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
363,OPRT,OPORTUN FINANCIAL CORP,NASDAQ+RUSSELL2000,Financials,62.82,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.53,46.76,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
364,UBSI,UNITED BANKSHARES INC,RUSSELL2000,Financials,62.78,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.41,46.73,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
365,MCFT,MASTERCRAFT BOAT HOLDINGS INC,NASDAQ+RUSSELL2000,Consumer Discretionary,62.76,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.35,46.72,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
366,IMMR,IMMERSION CORP,NASDAQ+RUSSELL2000,Information Technology,62.71,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.19,46.69,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
367,TWI,TITAN INTERNATIONAL INC,RUSSELL2000,Industrials,62.71,82.0,early_transition,49.8,bullish_below_zero_proxy,62.18,46.69,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
368,PNTG,PENNANT GROUP INC,NASDAQ+RUSSELL2000,Health Care,62.69,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.67,47.58,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
369,ESQ,ESQUIRE FINANCIAL HOLDINGS INC,NASDAQ+RUSSELL2000,Financials,62.68,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.09,46.67,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
370,ICUI,ICU MEDICAL INC,NASDAQ+RUSSELL2000,Health Care,62.67,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.61,47.57,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
371,IBP,INSTALLED BUILDING PRODUCTS INC,RUSSELL2000,Consumer Discretionary,62.66,82.0,early_transition,49.8,bullish_below_zero_proxy,62.04,46.66,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
372,MPB,MID PENN BANCORP INC,NASDAQ+RUSSELL2000,Financials,62.65,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.02,46.65,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
373,NRC,NRC HEALTH,NASDAQ+RUSSELL2000,Health Care,62.65,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.55,47.56,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
374,STOK,STOKE THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,62.65,82.0,early_transition,49.8,bullish_below_zero_proxy,61.56,47.56,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
375,GENC,GENCOR INDUSTRIES INC,RUSSELL2000,Industrials,62.64,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.98,46.65,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
376,HLIO,HELIOS TECHNOLOGIES INC,RUSSELL2000,Industrials,62.6,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.84,46.62,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
377,OFLX,OMEGA FLEX INC,NASDAQ+RUSSELL2000,Industrials,62.59,82.0,early_transition,61.8,bullish_above_signal_proxy,52.74,44.8,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
378,NMRK,NEWMARK GROUP INC CLASS A,NASDAQ+RUSSELL2000,Real Estate,62.58,82.0,early_transition,49.8,bullish_below_zero_proxy,61.8,46.61,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
379,KOP,KOPPERS HOLDINGS INC,RUSSELL2000,Materials,62.58,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.79,46.61,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
380,LYTS,LSI INDUSTRIES INC,NASDAQ+RUSSELL2000,Industrials,62.57,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.76,46.6,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
381,MGEE,MGE ENERGY INC,NASDAQ+RUSSELL2000,Utilities,62.57,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.3,47.51,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
382,WHG,WESTWOOD HOLDINGS GROUP INC,RUSSELL2000,Financials,62.56,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,94.72,53.19,11.56,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.4 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
383,FMNB,FARMERS NATIONAL BANC CORP,NASDAQ+RUSSELL2000,Financials,62.54,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.68,46.59,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
384,IBCP,INDEPENDENT BANK CORP,NASDAQ+RUSSELL2000,Financials,62.53,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.64,46.58,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
385,LXP,LXP INDUSTRIAL TRUST,RUSSELL2000,Real Estate,62.53,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.65,46.58,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
386,NTB,BANK OF NT BUTTERFIELD & SON LTD,RUSSELL2000,Financials,62.51,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.57,46.56,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
387,HDSN,HUDSON TECHNOLOGIES INC,NASDAQ+RUSSELL2000,Industrials,62.5,82.0,early_transition,61.8,bullish_above_signal_proxy,52.45,44.74,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
388,OCUL,OCULAR THERAPEUTIX INC,NASDAQ+RUSSELL2000,Health Care,62.5,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.09,47.47,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
389,MMI,MARCUS & MILLICHAP INC,RUSSELL2000,Real Estate,62.5,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.54,46.56,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
390,ZWS,ZURN ELKAY WATER SOLUTIONS CORP,RUSSELL2000,Industrials,62.48,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.48,46.55,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
391,SFNC,SIMMONS FIRST NATIONAL CORP CLASS,NASDAQ+RUSSELL2000,Financials,62.46,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.42,46.53,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
392,KWR,QUAKER HOUGHTON CORP,RUSSELL2000,Materials,62.45,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.4,46.53,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
393,PECO,PHILLIPS EDISON AND COMPANY INC,NASDAQ+RUSSELL2000,Real Estate,62.44,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.37,46.52,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
394,GT,GOODYEAR TIRE & RUBBER,NASDAQ+RUSSELL2000,Consumer Discretionary,62.4,82.0,early_transition,49.8,bullish_below_zero_proxy,61.26,46.5,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
395,SAFE,SAFEHOLD INC,RUSSELL2000,Real Estate,62.4,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.24,46.5,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
396,INDB,INDEPENDENT BANK CORP,NASDAQ+RUSSELL2000,Financials,62.38,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.19,46.49,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
397,KVHI,KVH INDUSTRIES INC,NASDAQ+RUSSELL2000,Information Technology,62.38,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,44.83,43.22,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
398,EOLS,EVOLUS INC,NASDAQ+RUSSELL2000,Health Care,62.36,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.68,47.39,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
399,INVA,INNOVIVA INC,NASDAQ+RUSSELL2000,Health Care,62.36,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.68,47.39,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
400,LUCD,LUCID DIAGNOSTICS INC,NASDAQ+RUSSELL2000,Health Care,62.34,82.0,early_transition,49.8,bullish_below_zero_proxy,60.61,47.37,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
401,WINA,WINMARK CORP,NASDAQ+RUSSELL2000,Consumer Discretionary,62.33,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,57.3,45.71,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
402,NBN,NORTHEAST BANK,NASDAQ+RUSSELL2000,Financials,62.32,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.02,46.45,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
403,USPH,US PHYSICAL THERAPY INC,RUSSELL2000,Health Care,62.32,82.0,early_transition,49.8,bullish_below_zero_proxy,60.55,47.36,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
404,CHMG,CHEMUNG FINANCIAL CORP,NASDAQ+RUSSELL2000,Financials,62.3,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.95,46.44,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
405,DNTH,DIANTHUS THERAPEUTICS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,62.27,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.39,47.33,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
406,GBX,GREENBRIER INC,RUSSELL2000,Industrials,62.26,82.0,early_transition,61.8,bullish_above_signal_proxy,51.74,44.6,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
407,NGVC,NATURAL GROCERS BY VITAMIN COTTAGE,RUSSELL2000,Consumer Staples,62.26,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.38,47.33,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
408,LION,LIONSGATE STUDIOS CORP,RUSSELL2000,Communication,62.21,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.68,46.39,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
409,NBBK,NB BANCORP INC,NASDAQ+RUSSELL2000,Financials,62.18,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.58,46.37,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
410,OSCR,OSCAR HEALTH INC CLASS A,RUSSELL2000,Financials,62.17,72.0,confirmed_bullish_trend,25.0,bearish_proxy,88.43,51.94,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
411,DSGN,DESIGN THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,62.16,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,92.82,53.81,11.49,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.4 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
