early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_prism_rank,signal,risk
489,CAC,CAMDEN NATIONAL CORP,NASDAQ+RUSSELL2000,Financials,58.91,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,57.05,45.66,3.0,2,494,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
490,VCYT,VERACYTE INC,NASDAQ+RUSSELL2000,Health Care,58.84,75.0,confirmed_bullish_trend,86.55,fresh_above_zero_cross_proxy,80.46,51.34,17.14,2,70,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,EMA extension 3.0 ATR; MACD setup extended; event-level volume; MACD snapshot proxy; double-cross history unavailable
491,BKD,BROOKDALE SENIOR LIVING INC,RUSSELL2000,Health Care,58.84,82.0,early_transition,49.8,bullish_below_zero_proxy,50.0,45.25,0.0,2,598,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
492,NUVB,NUVATION BIO INC CLASS A,RUSSELL2000,Health Care,58.84,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,45.25,0.0,2,635,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
493,NRIM,NORTHRIM BANCORP INC,NASDAQ+RUSSELL2000,Financials,58.8,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,56.7,45.59,3.0,2,509,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
494,BIOA,BIOAGE LABS INC,NASDAQ+RUSSELL2000,Health Care,58.76,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,81.39,51.53,11.11,2,66,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
495,LFCR,LIFECORE BIOMEDICAL INC,NASDAQ+RUSSELL2000,Health Care,58.76,75.0,confirmed_bullish_trend,21.35,fresh_bearish_cross_proxy,77.68,50.79,0.0,2,83,EMA: confirmed_bullish_trend; MACD: fresh_bearish_cross_proxy,MACD snapshot proxy; double-cross history unavailable
496,LWAY,LIFEWAY FOODS INC,NASDAQ+RUSSELL2000,Consumer Staples,58.74,75.0,confirmed_bullish_trend,49.8,bullish_below_zero_proxy,56.07,46.46,0.0,2,353,EMA: confirmed_bullish_trend; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
497,AMRX,AMNEAL PHARMACEUTICALS INC CLASS A,NASDAQ+RUSSELL2000,Health Care,58.72,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,96.43,54.54,16.11,2,8,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
498,AGM,FEDERAL AGRICULTURAL MORTGAGE NON,RUSSELL2000,Financials,58.69,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,44.25,0.0,2,859,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
499,AMBP,ARDAGH METAL PACKAGING SA,RUSSELL2000,Materials,58.69,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,44.25,0.0,2,873,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
500,ARL,AMERICAN REALTY INVESTORS INC,RUSSELL2000,Real Estate,58.69,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,44.25,0.0,2,886,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
501,BH,BIGLARI HOLDINGS INCINARY CLASS B,RUSSELL2000,Consumer Discretionary,58.69,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,44.25,0.0,2,921,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
502,BNED,BARNES AND NOBLE EDUCATION INC,RUSSELL2000,Consumer Discretionary,58.69,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,44.25,0.0,2,934,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
503,CURV,TORRID HOLDINGS INC,RUSSELL2000,Consumer Discretionary,58.69,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,44.25,0.0,2,1015,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
504,DBRG,DIGITALBRIDGE GROUP INC CLASS A,RUSSELL2000,Financials,58.69,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,44.25,0.0,2,1027,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
505,DIN,DINE BRANDS GLOBAL INC,RUSSELL2000,Consumer Discretionary,58.69,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,44.25,0.0,2,1039,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
506,GPGI,GPGI INC CLASS A,RUSSELL2000,Information Technology,58.69,82.0,early_transition,49.8,bullish_below_zero_proxy,50.0,44.25,0.0,2,1119,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
507,LMND,LEMONADE INC,RUSSELL2000,Financials,58.69,82.0,early_transition,49.8,bullish_below_zero_proxy,50.0,44.25,0.0,2,1213,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
508,MAX,MEDIAALPHA INC CLASS A,RUSSELL2000,Communication,58.69,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,44.25,0.0,2,1231,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
509,PBYI,PUMA BIOTECHNOLOGY INC,NASDAQ+RUSSELL2000,Health Care,58.68,75.0,confirmed_bullish_trend,49.8,bullish_below_zero_proxy,55.88,46.43,0.0,2,358,EMA: confirmed_bullish_trend; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
510,TECX,TECTONIC THERAPEUTIC INC,NASDAQ+RUSSELL2000,Health Care,58.64,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,49.41,45.13,0.0,2,706,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
511,IART,INTEGRA LIFESCIENCES HOLDINGS CORP,NASDAQ+RUSSELL2000,Health Care,58.6,75.0,confirmed_bullish_trend,25.0,bearish_proxy,74.42,50.13,0.0,2,98,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
512,ONEW,ONEWATER MARINE CLASS A INC,NASDAQ+RUSSELL2000,Consumer Discretionary,58.59,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,46.97,43.64,0.0,2,1602,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
513,BTDR,BITDEER TECHNOLOGIES GROUP CLASS A,NASDAQ+RUSSELL2000,Information Technology,58.54,72.0,confirmed_bullish_trend,25.0,bearish_proxy,77.44,49.74,0.0,2,111,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
514,FELE,FRANKLIN ELECTRIC INC,NASDAQ+RUSSELL2000,Industrials,58.53,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,55.9,45.43,3.0,2,541,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
515,VECO,VEECO INSTRUMENTS INC,NASDAQ+RUSSELL2000,Information Technology,58.46,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,88.35,51.92,12.32,2,59,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.6 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
516,CERS,CERUS CORP,NASDAQ+RUSSELL2000,Health Care,58.41,100.0,fresh_bullish_cross,26.35,bearish_proxy,50.09,45.27,0.0,2,578,EMA: fresh_bullish_cross; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
517,WYFI,WHITEFIBER INC,NASDAQ+RUSSELL2000,Information Technology,58.4,75.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,88.53,51.96,13.34,2,57,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.8 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
518,UNFI,UNITED NATURAL FOODS INC,RUSSELL2000,Consumer Staples,58.38,100.0,fresh_bullish_cross,26.35,bearish_proxy,50.0,45.25,0.0,2,660,EMA: fresh_bullish_cross; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
519,RZLV,REZOLVE AI PLC,NASDAQ+RUSSELL2000,Information Technology,58.38,82.0,early_transition,49.8,bullish_below_zero_proxy,49.07,44.06,0.0,2,1550,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
520,CBRL,CRACKER BARREL OLD COUNTRY STORE I,NASDAQ+RUSSELL2000,Consumer Discretionary,58.37,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,54.25,16.26,2,13,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.6 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
521,IRON,DISC MEDICINE INC,NASDAQ+RUSSELL2000,Health Care,58.37,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,54.94,46.24,3.0,2,394,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
522,ULCC,FRONTIER GROUP HOLDINGS INC,NASDAQ+RUSSELL2000,Industrials,58.36,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,94.15,53.08,14.33,2,45,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
523,AIOT,POWERFLEET INC,NASDAQ+RUSSELL2000,Information Technology,58.36,38.0,mixed_sideways,63.15,bullish_above_signal_proxy,78.9,50.03,0.0,2,102,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
524,NWBI,NORTHWEST BANCSHARES INC,NASDAQ+RUSSELL2000,Financials,58.35,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,55.35,45.32,3.0,2,565,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
525,CLOV,CLOVER HEALTH INVESTMENTS CORP CLA,NASDAQ+RUSSELL2000,Health Care,58.32,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,94.76,54.2,14.72,2,25,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
526,MRVI,MARAVAI LIFESCIENCES HOLDINGS INC,NASDAQ+RUSSELL2000,Health Care,58.31,75.0,confirmed_bullish_trend,25.0,bearish_proxy,82.66,51.78,3.0,2,62,EMA: confirmed_bullish_trend; MACD: bearish_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
527,AVR,ANTERIS TECHNOLOGIES GLOBAL CORP,NASDAQ+RUSSELL2000,Health Care,58.22,75.0,confirmed_bullish_trend,26.35,bearish_proxy,72.27,49.7,0.0,2,113,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
528,BVFL,BV FINANCIAL INC,NASDAQ+RUSSELL2000,Financials,58.18,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,54.83,45.22,3.0,2,678,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
529,OUST,OUSTER INC,NASDAQ+RUSSELL2000,Information Technology,58.06,75.0,confirmed_bullish_trend,25.0,bearish_proxy,73.24,48.9,0.0,2,141,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
530,VABK,VIRGINIA NATIONAL BANKSHARES CORP,NASDAQ+RUSSELL2000,Financials,58.04,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,54.41,45.13,3.0,2,705,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
531,CDNL,CARDINAL INFRASTRUCTURE GROUP INC,NASDAQ+RUSSELL2000,Industrials,57.98,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,99.12,54.07,17.59,2,30,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.9 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
532,GO,GROCERY OUTLET HOLDING CORP,NASDAQ+RUSSELL2000,Consumer Staples,57.96,38.0,mixed_sideways,61.8,bullish_above_signal_proxy,78.25,50.9,0.0,2,82,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
533,UTI,UNIVERSAL TECHNICAL INSTITUTE INC,RUSSELL2000,Consumer Discretionary,57.89,100.0,fresh_bullish_cross,25.0,bearish_proxy,50.0,44.25,0.0,2,1476,EMA: fresh_bullish_cross; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
534,CVBF,CVB FINANCIAL CORP,NASDAQ+RUSSELL2000,Financials,57.85,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,53.82,45.01,3.0,2,725,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
535,CCBG,CAPITAL CITY BANK INC,NASDAQ+RUSSELL2000,Financials,57.84,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,53.8,45.01,3.0,2,727,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
536,ATLC,ATLANTICUS HOLDINGS CORP,NASDAQ+RUSSELL2000,Financials,57.8,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,83.87,51.02,12.74,2,79,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.7 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
537,FBNC,FIRST BANCORP,NASDAQ+RUSSELL2000,Financials,57.72,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,53.43,44.94,3.0,2,738,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
538,LPRO,OPEN LENDING CORP,NASDAQ+RUSSELL2000,Financials,57.67,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,100.0,54.25,18.19,2,18,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 4.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
539,NVEC,NVE CORP,NASDAQ+RUSSELL2000,Information Technology,57.63,75.0,confirmed_bullish_trend,25.0,bearish_proxy,71.96,48.64,0.0,2,154,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
540,FLYW,FLYWIRE CORP,NASDAQ+RUSSELL2000,Financials,57.6,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,46.69,43.59,0.0,2,1607,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
541,MRCY,MERCURY SYSTEMS INC,NASDAQ+RUSSELL2000,Industrials,57.44,75.0,confirmed_bullish_trend,25.0,bearish_proxy,71.36,48.52,0.0,2,158,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
542,CIFR,CIPHER DIGITAL INC,NASDAQ+RUSSELL2000,Information Technology,57.42,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,78.53,49.96,11.36,2,105,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
543,TBPH,THERAVANCE BIOPHARMA INC,NASDAQ+RUSSELL2000,Health Care,57.38,85.0,early_transition,49.8,bullish_below_zero_proxy,51.95,45.64,3.0,2,503,EMA: early_transition; MACD: bullish_below_zero_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
544,QDEL,QUIDELORTHO CORP,NASDAQ+RUSSELL2000,Health Care,57.37,85.0,early_transition,21.35,fresh_bearish_cross_proxy,64.38,48.13,0.0,2,178,EMA: early_transition; MACD: fresh_bearish_cross_proxy,MACD snapshot proxy; double-cross history unavailable
545,AIRO,AIRO GROUP HOLDINGS INC,NASDAQ+RUSSELL2000,Industrials,57.36,85.0,early_transition,25.0,bearish_proxy,62.04,46.66,0.0,2,328,EMA: early_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
546,OPBK,OP BANCORP,NASDAQ+RUSSELL2000,Financials,57.35,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,52.31,44.71,3.0,2,783,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
547,IMVT,IMMUNOVANT INC,NASDAQ+RUSSELL2000,Health Care,57.32,75.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,84.67,52.18,13.3,2,52,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.1 ATR; MACD setup extended; event-level volume; MACD snapshot proxy; double-cross history unavailable
548,NCMI,NATIONAL CINEMEDIA INC,NASDAQ+RUSSELL2000,Communication,57.3,38.0,mixed_sideways,63.15,bullish_above_signal_proxy,75.67,49.38,0.0,2,122,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
549,FWRG,FIRST WATCH RESTAURANT GROUP INC,NASDAQ+RUSSELL2000,Consumer Discretionary,57.24,82.0,early_transition,49.8,bullish_below_zero_proxy,45.62,43.37,0.0,2,1634,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
550,SYRE,SPYRE THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,57.21,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,80.19,51.29,12.27,2,73,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.6 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
551,SGHT,SIGHT SCIENCES INC,NASDAQ+RUSSELL2000,Health Care,57.2,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,42.31,43.71,0.0,2,1596,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
552,DHT,DHT HOLDINGS INC,RUSSELL2000,Energy,56.93,75.0,confirmed_bullish_trend,51.15,bullish_below_zero_proxy,50.0,44.25,0.0,2,1038,EMA: confirmed_bullish_trend; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
553,INSW,INTERNATIONAL SEAWAYS INC,RUSSELL2000,Energy,56.93,75.0,confirmed_bullish_trend,51.15,bullish_below_zero_proxy,50.0,44.25,0.0,2,1166,EMA: confirmed_bullish_trend; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
554,PENG,PENGUIN SOLUTIONS INC,NASDAQ+RUSSELL2000,Information Technology,56.88,75.0,confirmed_bullish_trend,26.35,bearish_proxy,68.66,47.98,0.0,2,189,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
555,NUVL,NUVALENT INC CLASS A,NASDAQ+RUSSELL2000,Health Care,56.77,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,89.52,53.15,14.55,2,43,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
556,MD,PEDIATRIX MEDICAL GROUP INC,RUSSELL2000,Health Care,56.74,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,45.25,3.0,2,628,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
557,ATEN,A10 NETWORKS INC,RUSSELL2000,Information Technology,56.59,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,44.25,3.0,2,896,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
558,BHB,BAR HARBOR BANKSHARES,RUSSELL2000,Financials,56.59,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,44.25,3.0,2,922,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
559,CPF,CENTRAL PACIFIC FINANCIAL CORP,RUSSELL2000,Financials,56.59,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,44.25,3.0,2,995,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
560,FLR,FLUOR CORP,RUSSELL2000,Industrials,56.59,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,44.25,3.0,2,1085,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
561,GHC,GRAHAM HOLDINGS COMPANY CLASS B,RUSSELL2000,Consumer Discretionary,56.59,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,44.25,3.0,2,1111,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
562,HTH,HILLTOP HOLDINGS INC,RUSSELL2000,Financials,56.59,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,44.25,3.0,2,1151,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
563,IVT,INVENTRUST PROPERTIES CORP,RUSSELL2000,Real Estate,56.59,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,44.25,3.0,2,1172,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
564,MCY,MERCURY GENERAL CORP,RUSSELL2000,Financials,56.59,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,44.25,3.0,2,1237,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
565,MG,MISTRAS GROUP INC,RUSSELL2000,Industrials,56.59,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,44.25,3.0,2,1242,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
566,NGVT,INGEVITY CORP,RUSSELL2000,Materials,56.59,85.0,early_transition,49.8,bullish_below_zero_proxy,50.0,44.25,3.0,2,1275,EMA: early_transition; MACD: bullish_below_zero_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
567,NIC,NICOLET BANKSHARES INC,RUSSELL2000,Financials,56.59,85.0,early_transition,49.8,bullish_below_zero_proxy,50.0,44.25,3.0,2,1277,EMA: early_transition; MACD: bullish_below_zero_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
568,PRK,PARK NATIONAL CORP,RUSSELL2000,Financials,56.59,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,44.25,3.0,2,1344,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
569,QUAD,QUAD GRAPHICS INC CLASS A,RUSSELL2000,Industrials,56.59,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,44.25,3.0,2,1355,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
570,RSI,RUSH STREET INTERACTIVE INC CLASS,RUSSELL2000,Consumer Discretionary,56.59,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,44.25,3.0,2,1377,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
571,SBH,SALLY BEAUTY HOLDINGS INC,RUSSELL2000,Consumer Discretionary,56.59,85.0,early_transition,49.8,bullish_below_zero_proxy,50.0,44.25,3.0,2,1386,EMA: early_transition; MACD: bullish_below_zero_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
572,SFBS,SERVISFIRST BANCSHARES INC,RUSSELL2000,Financials,56.59,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.0,44.25,3.0,2,1394,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
573,HWKN,HAWKINS INC,NASDAQ+RUSSELL2000,Materials,56.42,75.0,confirmed_bullish_trend,49.8,bullish_below_zero_proxy,49.48,44.15,0.0,2,1543,EMA: confirmed_bullish_trend; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
574,ICFI,ICF INTERNATIONAL INC,NASDAQ+RUSSELL2000,Industrials,56.39,85.0,early_transition,21.35,fresh_bearish_cross_proxy,61.86,46.62,0.0,2,333,EMA: early_transition; MACD: fresh_bearish_cross_proxy,MACD snapshot proxy; double-cross history unavailable
575,CVLT,COMMVAULT SYSTEMS INC,NASDAQ+RUSSELL2000,Information Technology,56.36,75.0,confirmed_bullish_trend,60.9,bullish_above_signal_proxy,74.81,49.21,11.19,2,127,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
576,FSUN,FIRSTSUN CAPITAL BANCORP,NASDAQ+RUSSELL2000,Financials,56.35,85.0,early_transition,49.8,bullish_below_zero_proxy,49.28,44.11,3.0,2,1546,EMA: early_transition; MACD: bullish_below_zero_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
577,MPLT,MAPLIGHT THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,56.31,100.0,fresh_bullish_cross,25.0,bearish_proxy,53.85,46.02,3.0,2,427,EMA: fresh_bullish_cross; MACD: bearish_proxy,event-level volume; MACD snapshot proxy; double-cross history unavailable
578,PNTG,PENNANT GROUP INC,NASDAQ+RUSSELL2000,Health Care,56.31,75.0,confirmed_bullish_trend,51.15,bullish_below_zero_proxy,47.68,44.79,0.0,2,771,EMA: confirmed_bullish_trend; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
579,CLSK,CLEANSPARK INC,NASDAQ+RUSSELL2000,Information Technology,56.29,72.0,confirmed_bullish_trend,25.0,bearish_proxy,70.6,48.37,0.0,2,165,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
