early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,MMED,MINIMED INC,NASDAQ+RUSSELL2000,Health Care,80.03,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,93.76,54.0,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
188,SVCO,SILVACO GROUP INC,NASDAQ+RUSSELL2000,Information Technology,65.69,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,71.22,48.49,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
189,JBGS,JBG SMITH PROPERTIES,RUSSELL2000,Real Estate,65.68,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,54.84,45.22,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
190,MDXG,MIMEDX GROUP INC,NASDAQ+RUSSELL2000,Health Care,65.66,82.0,early_transition,61.8,bullish_above_signal_proxy,61.58,47.57,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
191,ACU,ACME UNITED CORP,RUSSELL2000,Health Care,65.64,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,70.61,49.37,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
192,KRMD,KORU MEDICAL SYSTEMS INC,NASDAQ+RUSSELL2000,Health Care,65.61,82.0,early_transition,61.8,bullish_above_signal_proxy,61.44,47.54,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
193,JACK,JACK IN THE BOX INC,NASDAQ+RUSSELL2000,Consumer Discretionary,65.6,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,70.95,48.44,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
194,IIIV,I3 VERTICALS INC CLASS A,NASDAQ+RUSSELL2000,Information Technology,65.59,82.0,early_transition,61.8,bullish_above_signal_proxy,61.82,46.61,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
195,ALG,ALAMO GROUP INC,RUSSELL2000,Industrials,65.57,82.0,early_transition,61.8,bullish_above_signal_proxy,61.78,46.61,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
196,WNEB,WESTERN NEW ENGLAND BANCORP INC,NASDAQ+RUSSELL2000,Financials,65.56,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,70.84,48.42,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
197,UTL,UNITIL CORP,RUSSELL2000,Utilities,65.56,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,70.37,49.32,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
198,ACH,ACCENDRA HEALTH INC,RUSSELL2000,Health Care,65.54,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,70.31,49.31,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
199,COFS,CHOICEONE FINANCIAL SERVICES INC,NASDAQ+RUSSELL2000,Financials,65.52,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,70.71,48.39,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
200,WEN,WENDYS,NASDAQ+NASDAQ500+RUSSELL2000,Consumer Discretionary,65.52,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,70.72,48.39,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
201,AMCX,AMC GLOBAL MEDIA INC CLASS A,NASDAQ+RUSSELL2000,Communication,65.5,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,50.19,44.29,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
202,KGS,KODIAK GAS SERVICES INC,RUSSELL2000,Energy,65.47,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,70.55,48.36,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
203,BDC,BELDEN INC,RUSSELL2000,Information Technology,65.44,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,70.47,48.34,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
204,EBMT,EAGLE BANCORP MONTANA INC,NASDAQ+RUSSELL2000,Financials,65.43,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,70.43,48.34,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
205,MAC,MACERICH REIT,RUSSELL2000,Real Estate,65.36,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,70.22,48.29,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
206,FTRE,FORTREA HOLDINGS INC,NASDAQ+RUSSELL2000,Health Care,65.34,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,69.69,49.19,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
207,ALXO,ALX ONCOLOGY HOLDINGS INC,NASDAQ+RUSSELL2000,Health Care,65.31,82.0,early_transition,49.8,bullish_below_zero_proxy,69.62,49.17,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
208,MPB,MID PENN BANCORP INC,NASDAQ+RUSSELL2000,Financials,65.31,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,70.06,48.26,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
209,TH,TARGET HOSPITALITY CORP,NASDAQ+RUSSELL2000,Consumer Discretionary,65.31,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,70.08,48.27,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
210,OKUR,ONKURE THERAPEUTICS INC CLASS A,NASDAQ+RUSSELL2000,Health Care,65.3,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,69.59,49.17,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
211,JANX,JANUX THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,65.27,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,69.49,49.15,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
212,NEWT,NEWTEKONE INC,NASDAQ+RUSSELL2000,Financials,65.26,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,69.91,48.23,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
213,TSHA,TAYSHA GENE THERAPIES INC,NASDAQ+RUSSELL2000,Health Care,65.26,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,69.46,49.14,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
214,EE,EXCELERATE ENERGY INC CLASS A,RUSSELL2000,Energy,65.22,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,69.81,48.21,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
215,BHB,BAR HARBOR BANKSHARES,RUSSELL2000,Financials,65.14,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,69.56,48.16,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
216,AMPH,AMPHASTAR PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,65.11,82.0,early_transition,61.8,bullish_above_signal_proxy,59.93,47.24,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
217,CCBG,CAPITAL CITY BANK INC,NASDAQ+RUSSELL2000,Financials,65.09,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,69.4,48.13,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
218,SYBT,STOCK YARDS BANCORP INC,NASDAQ+RUSSELL2000,Financials,65.09,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,69.39,48.13,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
219,DTIL,PRECISION BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,65.08,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,68.91,49.03,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
220,SGHT,SIGHT SCIENCES INC,NASDAQ+RUSSELL2000,Health Care,65.07,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,68.9,49.03,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
221,KYTX,KYVERNA THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,65.06,82.0,early_transition,49.8,bullish_below_zero_proxy,68.85,49.02,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
222,STRW,STRAWBERRY FIELDS REIT INC,RUSSELL2000,Real Estate,65.06,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,69.3,48.11,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
223,PTLO,PORTILLO S INC CLASS A,NASDAQ+RUSSELL2000,Consumer Discretionary,65.04,82.0,early_transition,49.8,bullish_below_zero_proxy,69.26,48.1,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
224,TWI,TITAN INTERNATIONAL INC,RUSSELL2000,Industrials,65.04,82.0,early_transition,61.8,bullish_above_signal_proxy,60.16,46.28,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
225,MPLT,MAPLIGHT THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,65.01,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,68.7,48.99,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
226,MGRC,MCGRATH RENT,NASDAQ+RUSSELL2000,Industrials,64.98,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,69.06,48.06,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
227,BHE,BENCHMARK ELECTRONICS INC,RUSSELL2000,Information Technology,64.97,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,69.04,48.06,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
228,OBT,ORANGE COUNTY BANCORP INC,NASDAQ+RUSSELL2000,Financials,64.96,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,69.01,48.05,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
229,RNA,ATRIUM THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,64.93,82.0,early_transition,61.8,bullish_above_signal_proxy,59.37,47.12,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
230,SBSI,SOUTHSIDE BANCSHARES INC,RUSSELL2000,Financials,64.93,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,68.9,48.03,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
231,ABG,ASBURY AUTOMOTIVE GROUP INC,RUSSELL2000,Consumer Discretionary,64.91,82.0,early_transition,61.8,bullish_above_signal_proxy,59.76,46.2,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
232,BRT,BRT APARTMENTS CORP,RUSSELL2000,Real Estate,64.9,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,68.81,48.01,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
233,AVTX,AVALO THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,64.86,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,68.25,48.9,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
234,NGVT,INGEVITY CORP,RUSSELL2000,Materials,64.86,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,68.69,47.99,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
235,IBP,INSTALLED BUILDING PRODUCTS INC,RUSSELL2000,Consumer Discretionary,64.84,82.0,early_transition,49.8,bullish_below_zero_proxy,68.65,47.98,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
236,PRME,PRIME MEDICINE INC,NASDAQ+RUSSELL2000,Health Care,64.81,82.0,early_transition,61.8,bullish_above_signal_proxy,59.02,47.05,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
237,BCC,BOISE CASCADE,RUSSELL2000,Industrials,64.81,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,68.56,47.96,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
238,BLX,BLADEX INC CLASS E,RUSSELL2000,Financials,64.76,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,68.4,47.93,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
239,ICUI,ICU MEDICAL INC,NASDAQ+RUSSELL2000,Health Care,64.75,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,67.92,48.83,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
240,MPAA,MOTORCAR PARTS OF AMERICA INC,NASDAQ+RUSSELL2000,Consumer Discretionary,64.74,72.0,confirmed_bullish_trend,20.0,fresh_bearish_cross_proxy,100.0,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_bearish_cross_proxy,MACD snapshot proxy; double-cross history unavailable
241,BKTI,BK TECHNOLOGIES CORP,RUSSELL2000,Information Technology,64.74,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,51.98,44.65,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
242,MMSI,MERIT MEDICAL SYSTEMS INC,NASDAQ+RUSSELL2000,Health Care,64.73,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,67.87,48.82,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
243,HVT,HAVERTY FURNITURE COMPANIES INC,RUSSELL2000,Consumer Discretionary,64.69,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,68.18,47.89,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
244,INSP,INSPIRE MEDICAL SYSTEMS INC,RUSSELL2000,Health Care,64.69,82.0,early_transition,49.8,bullish_below_zero_proxy,67.74,48.8,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
245,CBU,COMMUNITY FINANCIAL SYSTEM INC,RUSSELL2000,Financials,64.68,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,68.15,47.88,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
246,LEG,LEGGETT & PLATT INC,RUSSELL2000,Consumer Discretionary,64.68,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,68.15,47.88,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
247,OCGN,OCUGEN INC,NASDAQ+RUSSELL2000,Health Care,64.67,82.0,early_transition,49.8,bullish_below_zero_proxy,67.68,48.79,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
248,YORW,YORK WATER,NASDAQ+RUSSELL2000,Utilities,64.66,82.0,early_transition,61.8,bullish_above_signal_proxy,58.55,46.96,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
249,FSBW,FS BANCORP INC,NASDAQ+RUSSELL2000,Financials,64.65,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,68.07,47.86,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
250,WEYS,WEYCO GROUP INC,NASDAQ+RUSSELL2000,Consumer Discretionary,64.63,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,68.0,47.85,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
251,EXPO,EXPONENT INC,NASDAQ+RUSSELL2000,Industrials,64.61,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,51.57,44.56,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
252,IPSC,CENTURY THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,64.59,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,67.44,48.74,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
253,VIR,VIR BIOTECHNOLOGY INC,NASDAQ+RUSSELL2000,Health Care,64.59,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,67.43,48.74,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
254,CHCO,CITY HOLDING,NASDAQ+RUSSELL2000,Financials,64.58,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,67.85,47.82,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
255,WD,WALKER & DUNLOP INC,RUSSELL2000,Financials,64.58,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,67.86,47.82,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
256,FFIN,FIRST FINANCIAL BANKSHARES INC,NASDAQ+RUSSELL2000,Financials,64.56,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,67.8,47.81,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
257,WASH,WASHINGTON TRUST BANCORP INC,NASDAQ+RUSSELL2000,Financials,64.54,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,67.73,47.8,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
258,GBX,GREENBRIER INC,RUSSELL2000,Industrials,64.54,82.0,early_transition,61.8,bullish_above_signal_proxy,58.63,45.98,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
259,CTKB,CYTEK BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,64.53,82.0,early_transition,61.8,bullish_above_signal_proxy,58.16,46.88,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
260,EBS,EMERGENT BIOSOLUTIONS INC,RUSSELL2000,Health Care,64.52,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,50.86,45.42,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
261,PI,IMPINJ INC,NASDAQ+RUSSELL2000,Information Technology,64.51,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,51.27,44.5,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
262,PTCT,PTC THERAPEUTICS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,64.46,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,67.03,48.66,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
263,NNI,NELNET INC CLASS A,RUSSELL2000,Financials,64.43,82.0,early_transition,61.8,bullish_above_signal_proxy,58.3,45.91,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
264,NPKI,NPK INTERNATIONAL INC,RUSSELL2000,Industrials,64.43,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,67.4,47.73,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
265,CTMX,CYTOMX THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,64.42,82.0,early_transition,49.8,bullish_below_zero_proxy,66.92,48.63,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
266,KWR,QUAKER HOUGHTON CORP,RUSSELL2000,Materials,64.42,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,67.38,47.73,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
267,AURA,AURA BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,64.4,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,50.49,45.35,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
268,MBWM,MERCANTILE BANK CORP,NASDAQ+RUSSELL2000,Financials,64.4,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,67.31,47.71,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
269,PRK,PARK NATIONAL CORP,RUSSELL2000,Financials,64.37,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,67.22,47.69,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
270,DNA,GINKGO BIOWORKS HOLDINGS INC CLASS,RUSSELL2000,Health Care,64.35,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,66.7,48.59,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
271,MGNX,MACROGENICS INC,NASDAQ+RUSSELL2000,Health Care,64.34,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,66.67,48.58,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
272,DHC,DIVERSIFIED HEALTHCARE TRUST,NASDAQ+RUSSELL2000,Real Estate,64.32,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,67.06,47.66,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
273,CVCO,CAVCO INDUSTRIES INC,NASDAQ+RUSSELL2000,Consumer Discretionary,64.31,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,67.04,47.66,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
