early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
70,BR,Broadridge Financial Solutions,SPX,Industrials,59.28,82.0,early_transition,49.8,bullish_below_zero_proxy,51.79,44.61,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
71,MOS,Mosaic Company (The),SPX,Materials,59.22,82.0,early_transition,49.8,bullish_below_zero_proxy,51.62,44.57,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
72,AMZN,Amazon,NASDAQ+NASDAQ200+NASDAQ500+SPX,Consumer Discretionary,59.03,82.0,early_transition,49.8,bullish_below_zero_proxy,51.04,44.46,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
73,KMI,Kinder Morgan,SPX,Energy,58.88,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.59,44.37,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
74,CVNA,Carvana,SPX,Consumer Discretionary,58.78,82.0,early_transition,49.8,bullish_below_zero_proxy,50.28,44.31,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
75,MSCI,MSCI Inc.,SPX,Financials,58.76,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,50.21,44.29,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
76,MO,Altria,SPX,Consumer Staples,58.51,100.0,fresh_bullish_cross,25.0,bearish_proxy,51.45,45.54,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
77,AES,AES Corporation,SPX,Utilities,58.41,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,47.57,47.26,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
78,TROW,T. Rowe Price,NASDAQ+NASDAQ500+SPX,Financials,58.12,72.0,confirmed_bullish_trend,86.55,fresh_above_zero_cross_proxy,59.98,46.25,10.05,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,EMA extension 2.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
79,BX,Blackstone Inc.,SPX,Financials,58.11,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,48.24,43.9,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
80,CRL,Charles River Laboratories,SPX,Health Care,57.77,72.0,confirmed_bullish_trend,25.0,bearish_proxy,74.64,50.18,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
81,TMUS,T-Mobile US,NASDAQ+NASDAQ200+NASDAQ500+SPX,Communication Services,57.68,82.0,early_transition,49.8,bullish_below_zero_proxy,46.94,43.64,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
