early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,DMRA,DAMORA THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,75.34,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,100.0,55.25,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
366,EFC,ELLINGTON FINANCIAL INC,RUSSELL2000,Financials,58.49,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,49.41,44.13,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
367,TDW,TIDEWATER INC,RUSSELL2000,Energy,58.48,82.0,early_transition,49.8,bullish_below_zero_proxy,49.37,44.12,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
368,IVR,INVESCO MORTGAGE CAPITAL REIT INC,RUSSELL2000,Financials,58.45,82.0,early_transition,49.8,bullish_below_zero_proxy,49.27,44.1,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
369,REAL,THE REALREAL INC,NASDAQ+RUSSELL2000,Consumer Discretionary,58.43,100.0,fresh_bullish_cross,25.0,bearish_proxy,51.65,44.58,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
370,DAVE,DAVE INC CLASS A,NASDAQ+NASDAQ500+RUSSELL2000,Financials,58.42,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,54.25,16.2,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.6 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
371,ACHC,ACADIA HEALTHCARE COMPANY INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,58.41,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,89.38,53.13,12.86,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.7 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
372,VABK,VIRGINIA NATIONAL BANKSHARES CORP,NASDAQ+RUSSELL2000,Financials,58.41,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,49.16,44.08,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
373,ACCO,ACCO BRANDS CORP,RUSSELL2000,Industrials,58.39,100.0,fresh_bullish_cross,25.0,bearish_proxy,51.53,44.56,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
374,HRI,HERC HOLDINGS INC,RUSSELL2000,Industrials,58.36,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,49.01,44.05,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
375,OI,O I GLASS INC,RUSSELL2000,Materials,58.35,82.0,early_transition,25.0,bearish_proxy,67.77,47.8,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
376,URGN,UROGEN PHARMA LTD,NASDAQ+RUSSELL2000,Health Care,58.34,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,88.54,52.96,12.65,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.7 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
377,RIGL,RIGEL PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,58.31,72.0,confirmed_bullish_trend,25.0,bearish_proxy,76.27,50.5,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
378,KLC,KINDERCARE LEARNING COMPANIES INC,RUSSELL2000,Consumer Discretionary,58.27,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,84.46,51.14,11.23,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
379,CMTV,COMMUNITY BANCORP VT,NASDAQ+RUSSELL2000,Financials,58.26,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,48.71,43.99,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
380,PAY,PAYMENTUS HOLDINGS INC CLASS A,RUSSELL2000,Financials,58.24,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,95.85,53.42,15.01,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
381,AAMI,ACADIAN ASSET MANAGEMENT INC,RUSSELL2000,Financials,58.2,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,48.51,43.95,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
382,MC,MOELIS CLASS A,RUSSELL2000,Financials,58.16,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,48.41,43.93,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
383,TDOC,TELADOC HEALTH INC,RUSSELL2000,Health Care,58.15,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,83.47,51.94,11.17,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
384,CARG,CARGURUS INC CLASS A,NASDAQ+RUSSELL2000,Communication,58.14,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,81.21,50.49,10.28,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
385,ONT,ONTERRIS INC,RUSSELL2000,Industrials,58.08,72.0,confirmed_bullish_trend,20.0,fresh_bearish_cross_proxy,79.83,50.22,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_bearish_cross_proxy,MACD snapshot proxy; double-cross history unavailable
386,CNMD,CONMED CORP,RUSSELL2000,Health Care,58.04,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,93.97,54.04,14.75,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
387,OPAL,OPAL FUELS INC CLASS A,NASDAQ+RUSSELL2000,Energy,58.0,82.0,early_transition,59.55,bullish_above_signal_proxy,75.06,49.26,11.4,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
388,STNG,SCORPIO TANKERS INC,RUSSELL2000,Energy,57.97,82.0,early_transition,49.8,bullish_below_zero_proxy,47.83,43.82,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
389,POWW,OUTDOOR HOLDING,NASDAQ+RUSSELL2000,Consumer Discretionary,57.93,72.0,confirmed_bullish_trend,25.0,bearish_proxy,75.59,49.37,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
390,TRAX,FIRST TRACKS BIOTHERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,57.89,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,55.25,16.89,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.7 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
391,VTOL,BRISTOW GROUP INC,RUSSELL2000,Energy,57.87,82.0,early_transition,49.8,bullish_below_zero_proxy,47.54,43.76,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
392,RSVR,RESERVOIR MEDIA INC,NASDAQ+RUSSELL2000,Communication,57.82,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,47.36,43.72,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
393,MLR,MILLER INDUSTRIES INC,RUSSELL2000,Industrials,57.8,100.0,fresh_bullish_cross,25.0,bearish_proxy,49.72,44.19,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
394,AGYS,AGILYSYS INC,NASDAQ+RUSSELL2000,Information Technology,57.77,72.0,confirmed_bullish_trend,25.0,bearish_proxy,75.1,49.27,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
395,JJSF,J AND J SNACK FOODS CORP,NASDAQ+RUSSELL2000,Consumer Staples,57.68,82.0,early_transition,49.8,bullish_below_zero_proxy,46.5,44.55,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
396,HLX,HELIX ENERGY SOLUTIONS GROUP INC,RUSSELL2000,Energy,57.67,82.0,early_transition,49.8,bullish_below_zero_proxy,46.93,43.64,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
397,LRMR,LARIMAR THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,57.66,82.0,early_transition,61.8,bullish_above_signal_proxy,37.33,42.72,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
398,MNTK,MONTAUK RENEWABLES INC,NASDAQ+RUSSELL2000,Utilities,57.63,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,46.33,44.52,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
399,TBCH,TURTLE BEACH CORP,NASDAQ+RUSSELL2000,Information Technology,57.6,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,46.71,43.59,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
400,BDN,BRANDYWINE REALTY TRUST REIT,RUSSELL2000,Real Estate,57.57,100.0,fresh_bullish_cross,25.0,bearish_proxy,49.05,44.06,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
401,QTRX,QUANTERIX CORP,NASDAQ+RUSSELL2000,Health Care,57.5,72.0,confirmed_bullish_trend,25.0,bearish_proxy,73.82,50.01,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
402,BOH,BANK OF HAWAII CORP,RUSSELL2000,Financials,57.49,72.0,confirmed_bullish_trend,86.55,fresh_above_zero_cross_proxy,58.49,45.95,10.19,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,EMA extension 2.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
403,NHC,NATIONAL HEALTHCARE CORP,RUSSELL2000,Health Care,57.4,72.0,confirmed_bullish_trend,86.55,fresh_above_zero_cross_proxy,63.7,47.99,12.14,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,EMA extension 2.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
404,TNC,TENNANT,RUSSELL2000,Industrials,57.28,100.0,fresh_bullish_cross,25.0,bearish_proxy,48.16,43.88,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
405,VCYT,VERACYTE INC,NASDAQ+RUSSELL2000,Health Care,57.27,72.0,confirmed_bullish_trend,25.0,bearish_proxy,73.12,49.87,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
406,BETA,BETA TECHNOLOGIES INC CLASS A,RUSSELL2000,Industrials,57.26,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,45.69,43.39,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
407,UIS,UNISYS CORP,RUSSELL2000,Information Technology,57.22,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,45.56,43.36,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
408,CNDT,CONDUENT INC,NASDAQ+RUSSELL2000,Industrials,57.18,82.0,early_transition,49.8,bullish_below_zero_proxy,45.42,43.33,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
409,CALY,CALLAWAY GOLF COMPANY,RUSSELL2000,Consumer Discretionary,57.16,72.0,confirmed_bullish_trend,86.55,fresh_above_zero_cross_proxy,67.31,47.71,13.43,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,EMA extension 2.9 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
410,PBF,PBF ENERGY INC CLASS A,RUSSELL2000,Energy,57.11,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,54.25,17.52,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.9 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
411,BRCB,BLACK ROCK COFFEE BAR INC CLASS A,NASDAQ+RUSSELL2000,Consumer Discretionary,57.09,82.0,early_transition,49.8,bullish_below_zero_proxy,45.16,43.28,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
412,SFL,SFL LTD,RUSSELL2000,Energy,57.01,82.0,early_transition,49.8,bullish_below_zero_proxy,44.9,43.23,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
413,SKWD,SKYWARD SPECIALTY INSURANCE GROUP,NASDAQ+RUSSELL2000,Financials,56.97,72.0,confirmed_bullish_trend,25.0,bearish_proxy,72.67,48.78,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
414,PTGX,PROTAGONIST THERAPEUTICS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,56.96,72.0,confirmed_bullish_trend,25.0,bearish_proxy,72.2,49.69,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
415,WDFC,WD-40,NASDAQ+NASDAQ500+RUSSELL2000,Consumer Staples,56.92,72.0,confirmed_bullish_trend,25.0,bearish_proxy,72.06,49.66,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
416,ONB,OLD NATIONAL BANCORP,NASDAQ+NASDAQ500+RUSSELL2000,Financials,56.88,72.0,confirmed_bullish_trend,86.55,fresh_above_zero_cross_proxy,60.06,46.26,11.32,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
417,HFWA,HERITAGE FINANCIAL CORP,NASDAQ+RUSSELL2000,Financials,56.86,72.0,confirmed_bullish_trend,86.55,fresh_above_zero_cross_proxy,60.22,46.29,11.39,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
418,CLNE,CLEAN ENERGY FUELS CORP,NASDAQ+RUSSELL2000,Energy,56.84,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,86.51,51.55,13.33,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.8 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
419,PRGS,PROGRESS SOFTWARE CORP,NASDAQ+RUSSELL2000,Information Technology,56.81,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,78.82,50.01,10.83,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
420,XENE,XENON PHARMACEUTICALS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,56.8,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,80.89,51.43,11.67,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.4 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
421,GOLF,ACUSHNET HOLDINGS CORP,RUSSELL2000,Consumer Discretionary,56.76,72.0,confirmed_bullish_trend,25.0,bearish_proxy,72.04,48.66,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
422,ACAD,ACADIA PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,56.75,72.0,confirmed_bullish_trend,20.0,fresh_bearish_cross_proxy,75.34,50.32,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_bearish_cross_proxy,MACD snapshot proxy; double-cross history unavailable
423,CBRL,CRACKER BARREL OLD COUNTRY STORE I,NASDAQ+RUSSELL2000,Consumer Discretionary,56.73,72.0,confirmed_bullish_trend,25.0,bearish_proxy,71.96,48.64,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
424,TCBK,TRICO BANCSHARES,NASDAQ+RUSSELL2000,Financials,56.68,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,54.25,17.94,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 4.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
425,CBNA,CHAIN BRIDGE BANCORP INC CLASS A,RUSSELL2000,Financials,56.67,72.0,confirmed_bullish_trend,25.0,bearish_proxy,71.78,48.61,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
426,NRC,NRC HEALTH,NASDAQ+RUSSELL2000,Health Care,56.63,72.0,confirmed_bullish_trend,25.0,bearish_proxy,71.19,49.49,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
427,MGNI,MAGNITE INC,NASDAQ+RUSSELL2000,Communication,56.58,72.0,confirmed_bullish_trend,25.0,bearish_proxy,71.48,48.55,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
428,WSFS,WSFS FINANCIAL CORP,NASDAQ+RUSSELL2000,Financials,56.57,72.0,confirmed_bullish_trend,86.55,fresh_above_zero_cross_proxy,56.01,45.45,10.29,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
429,EVER,EVERQUOTE INC CLASS A,NASDAQ+RUSSELL2000,Communication,56.52,72.0,confirmed_bullish_trend,20.0,fresh_bearish_cross_proxy,75.1,49.27,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_bearish_cross_proxy,MACD snapshot proxy; double-cross history unavailable
430,QNST,QUINSTREET INC,NASDAQ+RUSSELL2000,Communication,56.49,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,98.32,53.91,17.58,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.9 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
431,COGT,COGENT BIOSCIENCES INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,56.48,72.0,confirmed_bullish_trend,25.0,bearish_proxy,70.73,49.4,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
432,MANE,VERADERMICS INC,RUSSELL2000,Health Care,56.47,72.0,confirmed_bullish_trend,25.0,bearish_proxy,70.69,49.39,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
433,CURV,TORRID HOLDINGS INC,RUSSELL2000,Consumer Discretionary,56.46,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,43.24,42.9,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
434,DK,DELEK US HOLDINGS INC,RUSSELL2000,Energy,56.43,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,93.33,52.92,15.99,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
435,FIBK,FIRST INTERSTATE BANCSYSTEM INC,NASDAQ+RUSSELL2000,Financials,56.35,72.0,confirmed_bullish_trend,86.55,fresh_above_zero_cross_proxy,59.85,46.22,11.78,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,EMA extension 2.4 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
436,PLBC,PLUMAS BANCORP,NASDAQ+RUSSELL2000,Financials,56.35,72.0,confirmed_bullish_trend,86.55,fresh_above_zero_cross_proxy,64.35,47.12,13.26,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,EMA extension 2.8 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
437,VMD,VIEMED HEALTHCARE INC,NASDAQ+RUSSELL2000,Health Care,56.34,72.0,confirmed_bullish_trend,25.0,bearish_proxy,70.32,49.31,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
438,GYRE,GYRE THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,56.29,82.0,early_transition,25.0,bearish_proxy,61.07,47.46,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
439,CVCO,CAVCO INDUSTRIES INC,NASDAQ+RUSSELL2000,Consumer Discretionary,56.19,100.0,fresh_bullish_cross,25.0,bearish_proxy,44.84,43.22,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
440,ABEO,ABEONA THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,56.18,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,84.94,52.24,13.62,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.9 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
441,IOVA,IOVANCE BIOTHERAPEUTICS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,56.17,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,73.93,50.04,10.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
442,LCNB,LCNB CORP,NASDAQ+RUSSELL2000,Financials,56.13,72.0,confirmed_bullish_trend,86.55,fresh_above_zero_cross_proxy,59.82,46.21,11.99,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,EMA extension 2.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
443,PDM,PIEDMONT REALTY TRUST INC CLASS A,RUSSELL2000,Real Estate,56.13,72.0,confirmed_bullish_trend,86.55,fresh_above_zero_cross_proxy,54.73,45.2,10.3,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
444,ALKS,ALKERMES,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,56.11,72.0,confirmed_bullish_trend,25.0,bearish_proxy,69.63,49.18,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
445,MIAX,MIAMI INTERNATIONAL HOLDINGS INC,RUSSELL2000,Financials,56.1,82.0,early_transition,49.8,bullish_below_zero_proxy,42.15,42.68,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
446,SMA,SMARTSTOP SELF STORAGE REIT INC,RUSSELL2000,Real Estate,56.04,72.0,confirmed_bullish_trend,86.55,fresh_above_zero_cross_proxy,54.36,45.12,10.27,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
447,EBC,EASTERN BANKSHARES INC,NASDAQ+RUSSELL2000,Financials,56.02,72.0,confirmed_bullish_trend,86.55,fresh_above_zero_cross_proxy,62.01,46.65,12.82,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,EMA extension 2.7 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
