early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,OPTU,OPTIMUM COMMUNICATIONS INC CLASS A,RUSSELL2000,Communication,79.42,85.0,early_transition,63.15,bullish_above_signal_proxy,100.0,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
201,LEG,LEGGETT & PLATT INC,RUSSELL2000,Consumer Discretionary,64.84,82.0,early_transition,61.8,bullish_above_signal_proxy,59.54,46.16,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
202,ZVIA,ZEVIA CLASS A,RUSSELL2000,Consumer Staples,64.84,75.0,confirmed_bullish_trend,90.15,fresh_above_zero_cross_proxy,43.98,44.05,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
203,BNTC,BENITEC BIOPHARMA INC,NASDAQ+RUSSELL2000,Health Care,64.78,82.0,early_transition,49.8,bullish_below_zero_proxy,68.0,48.85,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
204,LMRI,LUMEXA IMAGING HOLDINGS INC,NASDAQ+RUSSELL2000,Health Care,64.75,82.0,early_transition,61.8,bullish_above_signal_proxy,58.83,47.02,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
205,MRBK,MERIDIAN CORP,NASDAQ+RUSSELL2000,Financials,64.74,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,65.61,47.37,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
206,DCO,DUCOMMUN INC,RUSSELL2000,Industrials,64.74,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,68.33,47.92,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
207,FLG,FLAGSTAR BANK NATIONAL ASSOCIATION,RUSSELL2000,Financials,64.74,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,65.63,47.38,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
208,CFFI,C AND F FINANCIAL CORP,NASDAQ+RUSSELL2000,Financials,64.7,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,64.47,47.14,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
209,ABG,ASBURY AUTOMOTIVE GROUP INC,RUSSELL2000,Consumer Discretionary,64.67,82.0,early_transition,61.8,bullish_above_signal_proxy,59.03,46.06,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
210,ACRS,ACLARIS THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,64.65,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,63.87,48.02,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
211,IRWD,IRONWOOD PHARMA INC CLASS A,NASDAQ+RUSSELL2000,Health Care,64.65,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,51.25,45.5,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
212,TTMI,TTM TECHNOLOGIES INC,NASDAQ+NASDAQ500+RUSSELL2000,Information Technology,64.65,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,68.05,47.86,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
213,NBBK,NB BANCORP INC,NASDAQ+RUSSELL2000,Financials,64.62,85.0,early_transition,63.15,bullish_above_signal_proxy,55.13,45.28,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
214,NEO,NEOGENOMICS INC,NASDAQ+RUSSELL2000,Health Care,64.61,72.0,confirmed_bullish_trend,25.0,bearish_proxy,95.37,54.32,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
215,LAUR,LAUREATE EDUCATION INC,NASDAQ+RUSSELL2000,Consumer Discretionary,64.6,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,65.18,47.29,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
216,MCRI,MONARCH CASINO AND RESORT INC,NASDAQ+RUSSELL2000,Consumer Discretionary,64.57,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,67.84,47.82,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
217,SBCF,SEACOAST BANKING OF FLORIDA,NASDAQ+RUSSELL2000,Financials,64.57,82.0,early_transition,61.8,bullish_above_signal_proxy,58.73,46.0,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
218,AMLX,AMYLYX PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,64.56,85.0,early_transition,51.15,bullish_below_zero_proxy,63.59,47.97,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
219,PCYO,PURE CYCLE CORP,NASDAQ+RUSSELL2000,Utilities,64.54,85.0,early_transition,51.15,bullish_below_zero_proxy,63.54,47.96,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
220,CALM,CAL MAINE FOODS INC,NASDAQ+RUSSELL2000,Consumer Staples,64.53,85.0,early_transition,63.15,bullish_above_signal_proxy,54.41,46.13,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
221,MYFW,FIRST WESTERN FINANCIAL INC,NASDAQ+RUSSELL2000,Financials,64.52,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,67.67,47.78,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
222,CIFR,CIPHER DIGITAL INC,NASDAQ+NASDAQ500+RUSSELL2000,Information Technology,64.49,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,67.6,47.77,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
223,VSXY,VICTORIA S SECRET,RUSSELL2000,Consumer Discretionary,64.49,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,54.25,10.14,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
224,MDGL,MADRIGAL PHARMACEUTICALS INC,NASDAQ+NASDAQ200+NASDAQ500+RUSSELL2000,Health Care,64.48,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,50.74,45.4,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
225,TMP,TOMPKINS FINANCIAL CORP,RUSSELL2000,Financials,64.47,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,63.78,47.01,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
226,PAYS,PAYSIGN INC,NASDAQ+RUSSELL2000,Financials,64.45,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,67.45,47.74,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
227,SANA,SANA BIOTECHNOLOGY INC,NASDAQ+RUSSELL2000,Health Care,64.43,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,50.58,45.37,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
228,RCKY,ROCKY BRANDS INC,NASDAQ+RUSSELL2000,Consumer Discretionary,64.37,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,63.47,46.94,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
229,MITT,TPG MORTGAGE INVESTMENT TRUST INC,RUSSELL2000,Financials,64.37,82.0,early_transition,61.8,bullish_above_signal_proxy,58.12,45.87,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
230,DAKT,DAKTRONICS INC,NASDAQ+RUSSELL2000,Information Technology,64.36,85.0,early_transition,63.15,bullish_above_signal_proxy,54.34,45.12,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
231,RNAC,CARTESIAN THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,64.31,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,55.25,10.47,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
232,AMTB,AMERANT BANCORP INC CLASS A,RUSSELL2000,Financials,64.31,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,63.3,46.91,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
233,HCSG,HEALTHCARE SERVICES GROUP INC,NASDAQ+RUSSELL2000,Industrials,64.29,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,66.96,47.64,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
234,WASH,WASHINGTON TRUST BANCORP INC,NASDAQ+RUSSELL2000,Financials,64.29,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,63.24,46.9,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
235,NKSH,NATIONAL BANKSHARES INC,NASDAQ+RUSSELL2000,Financials,64.28,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,50.59,44.37,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
236,KGS,KODIAK GAS SERVICES INC,RUSSELL2000,Energy,64.28,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,50.59,44.37,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
237,TRS,TRIMAS CORP,NASDAQ+RUSSELL2000,Materials,64.24,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,66.84,47.62,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
238,AEO,AMERICAN EAGLE OUTFITTERS INC,RUSSELL2000,Consumer Discretionary,64.24,82.0,early_transition,61.8,bullish_above_signal_proxy,57.72,45.79,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
239,BVFL,BV FINANCIAL INC,NASDAQ+RUSSELL2000,Financials,64.23,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,66.8,47.61,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
240,STC,STEWART INFO SERVICES CORP,RUSSELL2000,Financials,64.23,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,50.43,44.34,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
241,AZZ,AZZ INC,RUSSELL2000,Industrials,64.2,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,66.71,47.59,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
242,BCAL,CALIFORNIA BANCORP,NASDAQ+RUSSELL2000,Financials,64.19,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,63.94,47.04,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
243,BHE,BENCHMARK ELECTRONICS INC,RUSSELL2000,Information Technology,64.16,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,66.57,47.56,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
244,COLL,COLLEGIUM PHARMACEUTICAL INC,NASDAQ+RUSSELL2000,Health Care,64.14,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,49.72,45.19,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
245,ARDX,ARDELYX INC,NASDAQ+RUSSELL2000,Health Care,64.08,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,49.52,45.15,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
246,AVBH,AVIDBANK HOLDINGS INC,NASDAQ+RUSSELL2000,Financials,64.07,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,63.6,46.97,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
247,NRIM,NORTHRIM BANCORP INC,NASDAQ+RUSSELL2000,Financials,64.05,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,66.26,47.5,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
248,SNDA,SONIDA SENIOR LIVING INC,RUSSELL2000,Health Care,64.05,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,49.43,45.14,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
249,FTLF,FITLIFE BRANDS INC,NASDAQ+RUSSELL2000,Consumer Staples,64.04,82.0,early_transition,61.8,bullish_above_signal_proxy,56.68,46.59,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
250,LOB,LIVE OAK BANCSHARES INC,RUSSELL2000,Financials,63.98,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,62.28,46.71,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
251,BHB,BAR HARBOR BANKSHARES,RUSSELL2000,Financials,63.91,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,65.82,47.41,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
252,BOOT,BOOT BARN HOLDINGS INC,RUSSELL2000,Consumer Discretionary,63.91,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,65.83,47.42,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
253,JBI,JANUS INTERNATIONAL GROUP INC,RUSSELL2000,Industrials,63.91,82.0,early_transition,61.8,bullish_above_signal_proxy,56.72,45.59,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
254,ACIW,ACI WORLDWIDE INC,NASDAQ+RUSSELL2000,Information Technology,63.9,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,62.04,46.66,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
255,LOCO,EL POLLO LOCO INC,NASDAQ+RUSSELL2000,Consumer Discretionary,63.86,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,61.93,46.64,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
256,FMBH,FIRST MID BANCSHARES INC,NASDAQ+RUSSELL2000,Financials,63.83,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,65.58,47.37,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
257,HNI,HNI CORP,RUSSELL2000,Industrials,63.81,82.0,early_transition,49.8,bullish_below_zero_proxy,65.52,47.35,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
258,RRR,RED ROCK RESORTS ORS CLASS A INC,NASDAQ+RUSSELL2000,Consumer Discretionary,63.8,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,65.5,47.35,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
259,TGLS,TECNOGLASS INC,RUSSELL2000,Industrials,63.75,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,61.6,46.57,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
260,WT,WISDOMTREE INC,RUSSELL2000,Financials,63.74,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,44.85,43.22,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
261,NEWT,NEWTEKONE INC,NASDAQ+RUSSELL2000,Financials,63.73,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,61.53,46.56,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
262,HOV,HOVNANIAN ENTERPRISES INC CLASS A,RUSSELL2000,Consumer Discretionary,63.73,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,65.28,47.31,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
263,CZFS,CITIZENS FINANCIAL SERVICES INC,NASDAQ+RUSSELL2000,Financials,63.71,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,61.47,46.54,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
264,RZLT,REZOLUTE INC,NASDAQ+RUSSELL2000,Health Care,63.71,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,55.25,11.06,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
265,LYTS,LSI INDUSTRIES INC,NASDAQ+RUSSELL2000,Industrials,63.7,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,65.2,47.29,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
266,MITK,MITEK SYSTEMS INC,NASDAQ+RUSSELL2000,Information Technology,63.69,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,65.16,47.28,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
267,RM,REGIONAL MANAGEMENT CORP,RUSSELL2000,Financials,63.69,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,62.44,46.74,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
268,FXNC,FIRST NATIONAL CORP,NASDAQ+RUSSELL2000,Financials,63.66,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,61.32,46.51,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
269,MD,PEDIATRIX MEDICAL GROUP INC,RUSSELL2000,Health Care,63.61,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,64.47,48.14,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
270,WTBA,WEST BANCORPORATION INC,NASDAQ+RUSSELL2000,Financials,63.56,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,64.77,47.2,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
271,CENTA,CENTRAL GARDEN AND PET CLASS A,NASDAQ+RUSSELL2000,Consumer Staples,63.54,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,64.26,48.1,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
272,MTRX,MATRIX SERVICE,NASDAQ+RUSSELL2000,Industrials,63.54,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.97,46.64,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
273,EP,EMPIRE PETROLEUM CORP,RUSSELL2000,Energy,63.54,85.0,early_transition,63.15,bullish_above_signal_proxy,51.85,44.62,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
274,SPB,SPECTRUM BRANDS HOLDINGS INC,RUSSELL2000,Consumer Staples,63.51,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,64.16,48.08,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
275,HVT,HAVERTY FURNITURE COMPANIES INC,RUSSELL2000,Consumer Discretionary,63.48,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,64.53,47.16,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
276,ABM,ABM INDUSTRIES INC,RUSSELL2000,Industrials,63.47,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,64.5,47.15,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
277,BPRN,PRINCETON BANCORP INC,NASDAQ+RUSSELL2000,Financials,63.45,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,64.43,47.14,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
278,EVER,EVERQUOTE INC CLASS A,NASDAQ+RUSSELL2000,Communication,63.42,75.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.62,46.57,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
279,FMAO,FARMERS AND MERCHANTS BANCORP INC,NASDAQ+RUSSELL2000,Financials,63.41,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,60.57,46.36,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
280,ISTR,INVESTAR HOLDING CORP,NASDAQ+RUSSELL2000,Financials,63.41,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,60.56,46.36,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
281,DBD,DIEBOLD NIXDORF INC,RUSSELL2000,Information Technology,63.41,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,64.32,47.11,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
282,UBSI,UNITED BANKSHARES INC,RUSSELL2000,Financials,63.4,75.0,confirmed_bullish_trend,63.15,bullish_above_signal_proxy,60.53,46.36,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
283,RUSHB,RUSH ENTERPRISES INC CLASS B,NASDAQ+RUSSELL2000,Industrials,63.38,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,64.22,47.09,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
284,HNST,THE HONEST COMPANY INC,NASDAQ+RUSSELL2000,Consumer Staples,63.37,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,63.75,48.0,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
285,NTLA,INTELLIA THERAPEUTICS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,63.37,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,63.74,48.0,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
