rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note,confirmation_layer,confirmation_hit,confirmation_score,model_data_date
36,NHC,NATIONAL HEALTHCARE CORP,Health Care,0.0,Deep v3 Daily CNN 确认层 数据不足,225.800003,55.03,0.69,0.00117498,0.03768381,0.03806546,90.4,66.99,100.0,80.66,30.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
37,CHRD,Chord Energy Corporation - Common Stock,,0.0,Deep v3 Daily CNN 确认层 数据不足,151.820007,63.65,1.29,0.01507709,0.01490749,0.09011275,82.9,66.83,88.8,80.68,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
38,HPK,HIGHPEAK ENERGY INC,Energy,0.0,Deep v3 Daily CNN 确认层 数据不足,8.58,64.93,1.62,0.04030263,0.05147059,0.03748489,82.9,66.37,91.6,80.66,100.0,72.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
39,MVBF,MVB FINANCIAL CORP,Financials,0.0,Deep v3 Daily CNN 确认层 数据不足,31.32,61.86,0.84,0.02722204,0.01523501,0.03639977,73.0,66.2,100.0,80.66,68.0,100.0,mixed_sideways,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
40,PLSE,PULSE BIOSCIENCES INC,Health Care,0.0,Deep v3 Daily CNN 确认层 数据不足,54.43,56.44,1.58,-0.03475792,0.03282730,0.22645333,82.9,65.99,74.0,80.0,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
41,ATLO,AMES NATIONAL CORP,Financials,0.0,Deep v3 Daily CNN 确认层 数据不足,32.34,59.4,1.41,0.01826196,0.01762111,0.02536458,75.1,65.83,100.0,80.66,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
42,FNLC,FIRST BANCORP INC,Financials,0.0,Deep v3 Daily CNN 确认层 数据不足,35.040001,54.91,0.75,0.01535796,0.01038065,-0.01044900,90.4,65.33,69.9,80.66,68.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
43,TXG,10X GENOMICS CLASS A,Health Care,0.0,Deep v3 Daily CNN 确认层 数据不足,66.379997,62.5,1.17,0.00340107,0.07602526,0.13547722,75.1,65.01,100.0,80.0,100.0,100.0,confirmed_bullish_trend,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
44,NVGS,NAVIGATOR HOLDINGS,Energy,0.0,Deep v3 Daily CNN 确认层 数据不足,22.98,65.53,0.98,0.01501771,0.01952081,0.14727902,82.9,62.46,100.0,80.66,68.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
45,BVFL,BV FINANCIAL INC,Financials,0.0,Deep v3 Daily CNN 确认层 数据不足,21.700001,55.15,0.86,0.01639349,0.00556075,0.03816823,92.8,60.92,88.8,80.66,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
46,BSRR,SIERRA BANCORP,Financials,0.0,Deep v3 Daily CNN 确认层 数据不足,40.869999,57.6,0.84,0.01565599,0.01088298,0.00963436,87.7,58.27,77.6,80.66,68.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
47,DVN,Devon Energy,Energy,0.0,Deep v3 Daily CNN 确认层 数据不足,50.014999,70.33,1.57,0.02489754,0.02008974,0.10189469,74.9,57.61,100.0,62.0,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
48,TALO,TALOS ENERGY,Energy,0.0,Deep v3 Daily CNN 确认层 数据不足,17.555,62.33,1.27,0.01035971,0.01915820,0.12712681,82.9,55.15,100.0,80.66,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
49,FDBC,FIDELITY D AND D BANCORP INC,Financials,0.0,Deep v3 Daily CNN 确认层 数据不足,54.91,57.71,0.95,0.02981995,0.03996409,0.01685185,90.4,54.03,88.8,80.66,68.0,100.0,fresh_bullish_cross,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
50,FUNC,FIRST UNITED CORP,Financials,0.0,Deep v3 Daily CNN 确认层 数据不足,44.400002,54.67,2.76,0.01694920,0.00989428,-0.01366205,92.8,42.91,69.9,80.66,66.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
