early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,LILA,LIBERTY LATIN AMERICA LTD CLASS A,NASDAQ+RUSSELL2000,Communication,80.59,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,100.0,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
407,RNST,RENASANT CORP,RUSSELL2000,Financials,62.55,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.69,46.59,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
408,ACT,ENACT HOLDINGS INC,NASDAQ+RUSSELL2000,Financials,62.54,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.68,46.59,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
409,NJR,NEW JERSEY RESOURCES CORP,RUSSELL2000,Utilities,62.53,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.18,47.49,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
410,ASLE,AERSALE CORP,NASDAQ+RUSSELL2000,Industrials,62.48,82.0,early_transition,49.8,bullish_below_zero_proxy,61.51,46.55,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
411,HBCP,HOME BANCORP INC,NASDAQ+RUSSELL2000,Financials,62.46,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.42,46.53,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
412,CSW,CSW INDUSTRIALS INC,RUSSELL2000,Industrials,62.43,82.0,early_transition,61.8,bullish_above_signal_proxy,52.25,44.7,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
413,TWI,TITAN INTERNATIONAL INC,RUSSELL2000,Industrials,62.41,82.0,early_transition,61.8,bullish_above_signal_proxy,52.18,44.69,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
414,RC,READY CAPITAL CORP,RUSSELL2000,Financials,62.4,82.0,early_transition,49.8,bullish_below_zero_proxy,61.26,46.5,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
415,CGEM,CULLINAN THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,62.37,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.7,47.39,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
416,FGBI,FIRST GUARANTY BANCSHARES INC,NASDAQ+RUSSELL2000,Financials,62.37,72.0,confirmed_bullish_trend,25.0,bearish_proxy,89.04,52.06,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
417,CCO,CLEAR CHANNEL OUTDOOR HOLDINGS INC,RUSSELL2000,Communication,62.37,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.17,46.48,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
418,CLMB,CLIMB GLOBAL SOLUTIONS INC,NASDAQ+RUSSELL2000,Information Technology,62.35,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.09,46.47,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
419,ABCB,AMERIS BANCORP,RUSSELL2000,Financials,62.35,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.1,46.47,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
420,GTY,GETTY REALTY REIT CORP,RUSSELL2000,Real Estate,62.34,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,61.06,46.46,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
421,SPRB,SPRUCE BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,62.33,82.0,early_transition,49.8,bullish_below_zero_proxy,60.59,47.37,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
422,BOH,BANK OF HAWAII CORP,RUSSELL2000,Financials,62.31,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.97,46.44,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
423,TTAN,SERVICETITAN INC CLASS A,NASDAQ+NASDAQ500+RUSSELL2000,Information Technology,62.3,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.96,46.44,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
424,NWL,NEWELL BRANDS INC,NASDAQ+NASDAQ500+RUSSELL2000,Consumer Discretionary,62.28,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,54.25,12.35,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.6 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
425,ZYME,ZYMEWORKS INC,NASDAQ+RUSSELL2000,Health Care,62.28,82.0,early_transition,49.8,bullish_below_zero_proxy,60.42,47.33,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
426,ISTR,INVESTAR HOLDING CORP,NASDAQ+RUSSELL2000,Financials,62.27,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.84,46.42,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
427,BDC,BELDEN INC,RUSSELL2000,Information Technology,62.27,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.87,46.42,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
428,SEVN,SEVEN HILLS REALTY TRUST,NASDAQ+RUSSELL2000,Financials,62.25,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.79,46.41,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
429,INDB,INDEPENDENT BANK CORP,NASDAQ+RUSSELL2000,Financials,62.24,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.76,46.4,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
430,IRMD,IRADIMED CORP,NASDAQ+RUSSELL2000,Health Care,62.22,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.23,47.3,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
431,OCUL,OCULAR THERAPEUTIX INC,NASDAQ+RUSSELL2000,Health Care,62.22,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.25,47.3,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
432,CMP,COMPASS MINERALS INTERNATIONAL INC,RUSSELL2000,Materials,62.22,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,40.26,42.3,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
433,SCL,STEPAN,RUSSELL2000,Materials,62.22,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.7,46.39,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
434,AVNT,AVIENT CORP,RUSSELL2000,Materials,62.17,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.55,46.36,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
435,CTEV,CLARITEV CORP CLASS A,RUSSELL2000,Health Care,62.15,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.03,47.26,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
436,BLBD,BLUE BIRD CORP,NASDAQ+RUSSELL2000,Industrials,62.13,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.45,46.34,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
437,AKTS,AKTIS ONCOLOGY INC,NASDAQ+RUSSELL2000,Health Care,62.12,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,55.25,12.65,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.7 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
438,NFBK,NORTHFIELD BANCORP INC,NASDAQ+RUSSELL2000,Financials,62.11,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.36,46.32,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
439,ODD,ODDITY TECH LTD CLASS A,NASDAQ+RUSSELL2000,Consumer Staples,62.08,82.0,early_transition,59.55,bullish_above_signal_proxy,100.0,55.25,15.69,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,EMA extension 3.4 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
440,LYTS,LSI INDUSTRIES INC,NASDAQ+RUSSELL2000,Industrials,62.06,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.22,46.29,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
441,PLTK,PLAYTIKA HOLDING CORP,NASDAQ+RUSSELL2000,Communication,62.02,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,60.09,46.27,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
442,GWRS,GLOBAL WATER RESOURCES INC,NASDAQ+RUSSELL2000,Utilities,62.01,82.0,early_transition,49.8,bullish_below_zero_proxy,59.62,47.17,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
443,BIOA,BIOAGE LABS INC,NASDAQ+RUSSELL2000,Health Care,61.97,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,55.25,12.81,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.7 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
444,FBK,FB FINANCIAL CORP,RUSSELL2000,Financials,61.96,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.92,46.23,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
445,SLG,SL GREEN REALTY REIT CORP,RUSSELL2000,Real Estate,61.96,72.0,confirmed_bullish_trend,86.55,fresh_above_zero_cross_proxy,71.63,48.58,10.06,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,EMA extension 2.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
446,ELDN,ELEDON PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,61.95,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.42,47.13,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
447,RCKY,ROCKY BRANDS INC,NASDAQ+RUSSELL2000,Consumer Discretionary,61.95,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.87,46.22,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
448,TENX,TENAX THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,61.95,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,95.31,54.31,11.28,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
449,PFS,PROVIDENT FINANCIAL SERVICES INC,RUSSELL2000,Financials,61.95,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.88,46.23,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
450,JBGS,JBG SMITH PROPERTIES,RUSSELL2000,Real Estate,61.91,82.0,early_transition,49.8,bullish_below_zero_proxy,59.75,46.2,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
451,OTTR,OTTER TAIL CORP,NASDAQ+RUSSELL2000,Utilities,61.9,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.29,47.11,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
452,SPB,SPECTRUM BRANDS HOLDINGS INC,RUSSELL2000,Consumer Staples,61.9,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.29,47.11,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
453,NTB,BANK OF NT BUTTERFIELD & SON LTD,RUSSELL2000,Financials,61.89,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.7,46.19,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
454,ICHR,ICHOR HOLDINGS LTD,NASDAQ+NASDAQ500+RUSSELL2000,Information Technology,61.87,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,93.68,52.99,10.67,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
455,DOUG,DOUGLAS ELLIMAN INC,RUSSELL2000,Real Estate,61.86,82.0,early_transition,49.8,bullish_below_zero_proxy,59.62,46.17,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
456,ELE,ELEMENTAL ROYALTY CORP,NASDAQ+RUSSELL2000,Materials,61.85,82.0,early_transition,49.8,bullish_below_zero_proxy,59.6,46.17,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
457,AGIO,AGIOS PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,61.83,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,55.25,12.95,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.7 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
458,KMTS,KESTRA MEDICAL TECHNOLOGIES LTD,NASDAQ+RUSSELL2000,Health Care,61.83,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,98.7,54.99,12.52,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.6 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
459,NKSH,NATIONAL BANKSHARES INC,NASDAQ+RUSSELL2000,Financials,61.82,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.51,46.15,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
460,SCSC,SCANSOURCE INC,NASDAQ+RUSSELL2000,Information Technology,61.82,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.51,46.15,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
461,SVC,SERVICE PROPERTIES TRUST,NASDAQ+RUSSELL2000,Real Estate,61.82,82.0,early_transition,61.8,bullish_above_signal_proxy,50.41,44.33,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
462,FCBC,FIRST COMMUNITY BANKSHARES INC,NASDAQ+RUSSELL2000,Financials,61.79,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.39,46.13,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
463,PCYO,PURE CYCLE CORP,NASDAQ+RUSSELL2000,Utilities,61.78,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.92,47.03,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
464,BRBR,BELLRING BRANDS INC,RUSSELL2000,Consumer Staples,61.77,82.0,early_transition,59.55,bullish_above_signal_proxy,100.0,55.25,16.01,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,EMA extension 3.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
465,CUBI,CUSTOMERS BANCORP INC,RUSSELL2000,Financials,61.77,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.33,46.12,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
466,EBF,ENNIS INC,RUSSELL2000,Industrials,61.75,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.28,46.11,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
467,TGLS,TECNOGLASS INC,RUSSELL2000,Industrials,61.74,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.26,46.1,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
468,CHMG,CHEMUNG FINANCIAL CORP,NASDAQ+RUSSELL2000,Financials,61.73,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.23,46.1,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
469,FCEL,FUELCELL ENERGY INC,NASDAQ+NASDAQ500+RUSSELL2000,Industrials,61.72,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.19,46.09,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
470,FF,FUTUREFUEL CORP,RUSSELL2000,Energy,61.72,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.18,46.09,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
471,CVSA,COVISTA INC,RUSSELL2000,Consumer Discretionary,61.7,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.13,46.08,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
472,IBCP,INDEPENDENT BANK CORP,NASDAQ+RUSSELL2000,Financials,61.69,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.09,46.07,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
473,IDT,IDT CORP CLASS B,RUSSELL2000,Communication,61.69,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.09,46.07,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
474,IIIN,INSTEEL INDUSTRIES INC,RUSSELL2000,Industrials,61.69,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.11,46.07,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
475,SFST,SOUTHERN FIRST BANCSHARES INC,NASDAQ+RUSSELL2000,Financials,61.68,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.08,46.07,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
476,CHCT,COMMUNITY HEALTHCARE TRUST INC,RUSSELL2000,Real Estate,61.68,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.06,46.06,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
477,DIBS,1STDIBS COM INC,NASDAQ+RUSSELL2000,Consumer Discretionary,61.67,82.0,early_transition,59.55,bullish_above_signal_proxy,82.89,50.83,10.31,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
478,IDCC,INTERDIGITAL INC,NASDAQ+NASDAQ500+RUSSELL2000,Information Technology,61.66,82.0,early_transition,49.8,bullish_below_zero_proxy,59.01,46.05,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
479,GDOT,GREEN DOT CORP CLASS A,RUSSELL2000,Financials,61.66,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,59.02,46.05,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
480,CRMD,CORMEDIX INC,NASDAQ+RUSSELL2000,Health Care,61.65,100.0,fresh_bullish_cross,25.0,bearish_proxy,60.95,47.44,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
481,DRVN,DRIVEN BRANDS HOLDINGS INC,NASDAQ+RUSSELL2000,Consumer Discretionary,61.65,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.96,46.04,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
482,LMNR,LIMONEIRA,NASDAQ+RUSSELL2000,Consumer Staples,61.64,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.5,46.95,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
483,POR,PORTLAND GENERAL ELECTRIC,RUSSELL2000,Utilities,61.64,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.48,46.95,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
484,YORW,YORK WATER,NASDAQ+RUSSELL2000,Utilities,61.62,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.44,46.94,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
485,NP,NEPTUNE INSURANCE HOLDINGS INC CLA,RUSSELL2000,Financials,61.6,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,54.25,13.03,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.8 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
486,NNI,NELNET INC CLASS A,RUSSELL2000,Financials,61.59,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.78,46.01,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
487,XNCR,XENCOR INC,NASDAQ+RUSSELL2000,Health Care,61.57,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,95.1,54.27,11.59,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.4 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
488,BHVN,BIOHAVEN LTD,RUSSELL2000,Health Care,61.57,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,55.25,13.2,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.8 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
489,GNE,GENIE ENERGY LTD CLASS B,RUSSELL2000,Utilities,61.57,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.29,46.91,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
490,GHC,GRAHAM HOLDINGS COMPANY CLASS B,RUSSELL2000,Consumer Discretionary,61.56,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,58.69,45.99,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
