early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
69,RVLV,REVOLVE GROUP CLASS A INC,RUSSELL2000,Consumer Discretionary,68.38,82.0,early_transition,61.8,bullish_above_signal_proxy,70.28,48.31,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
70,ACIC,AMERICAN COASTAL INSURANCE CORP,NASDAQ+RUSSELL2000,Financials,68.13,82.0,early_transition,61.8,bullish_above_signal_proxy,69.51,48.15,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
71,LCII,LCI INDUSTRIES,RUSSELL2000,Consumer Discretionary,68.08,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,62.08,46.67,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
72,HUBG,HUB GROUP INC CLASS A,NASDAQ+RUSSELL2000,Industrials,68.06,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,57.94,45.84,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
73,RLAY,RELAY THERAPEUTICS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,67.99,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,77.72,50.79,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
74,DXC,DXC TECHNOLOGY,RUSSELL2000,Information Technology,67.98,100.0,fresh_bullish_cross,49.8,bullish_below_zero_proxy,61.78,46.61,0.0,2,raw market data; independent of Prism ranking order,EMA: fresh_bullish_cross; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
75,CLYM,CLIMB BIO INC,NASDAQ+RUSSELL2000,Health Care,67.92,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,77.52,50.75,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
76,ORMP,ORAMED PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,67.89,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,77.42,50.73,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
77,VCTR,VICTORY CAPITAL HOLDINGS CLASS A I,NASDAQ+RUSSELL2000,Financials,67.88,72.0,confirmed_bullish_trend,88.8,fresh_above_zero_cross_proxy,57.41,45.73,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
78,GERN,GERON CORP,NASDAQ+RUSSELL2000,Health Care,67.87,82.0,early_transition,49.8,bullish_below_zero_proxy,77.36,50.72,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
