current_rank,ticker,name,sector,2026-06-22__predicted_rank,2026-06-22__close,2026-06-22__next_snapshot_return,2026-06-20__predicted_rank,2026-06-20__close,2026-06-20__next_snapshot_return
110,TDOC,TELADOC HEALTH INC,Health Care,110,7.58,,868,7.745,-0.021304067140090366
111,JBI,JANUS INTERNATIONAL GROUP INC,Industrials,111,5.35,,202,5.42,-0.01291512915129156
112,GEF,GREIF INC CLASS A,Materials,112,69.22,,231,69.27,-0.00072181319474518
113,RCMT,RCM TECHNOLOGIES INC,Industrials,113,27.39,,122,26.63,0.028539241457003373
114,ATEC,ALPHATEC HOLDNGS INC,Health Care,114,8.55,,1105,8.815,-0.0300623936471921
115,PLTK,PLAYTIKA HOLDING CORP,Communication,115,3.56,,978,3.635,-0.02063273727647863
116,SKY,CHAMPION HOMES INC,Consumer Discretionary,116,81.95,,826,82.69,-0.00894908695126373
117,FCFS,FIRSTCASH HOLDINGS INC,Financials,117,228.89,,699,229.94,-0.0045664086283379035
118,MITK,MITEK SYSTEMS INC,Information Technology,118,17.31,,65,17.31,0.0
119,SPXC,SPX TECHNOLOGIES INC,Industrials,119,246.41,,458,245.95,0.0018702988412280241
120,SBFG,SB FINANCIAL GROUP INC,Financials,120,23.03,,87,23.02,0.0004344048653346366
121,XPEL,XPEL INC,Consumer Discretionary,121,45.79,,621,45.63,0.0035064650449265766
122,BWFG,BANKWELL FINANCIAL GROUP INC,Financials,122,56.26,,154,56.22,0.0007114905727498844
123,DCO,DUCOMMUN INC,Industrials,123,164.9,,430,164.5,0.002431610942249307
124,EP,EMPIRE PETROLEUM CORP,Energy,124,2.78,,432,2.795,-0.00536672629695889
125,JOE,ST JOE,Real Estate,125,65.32,,1029,65.83,-0.007747227707732063
126,ARL,AMERICAN REALTY INVESTORS INC,Real Estate,126,16.24,,500,16.0,0.014999999999999902
127,BWB,BRIDGEWATER BANCSHARES INC,Financials,127,19.93,,55,19.87,0.003019627579265105
128,MYGN,MYRIAD GENETICS INC,Health Care,128,4.5,,51,4.545,-0.00990099009900991
129,SIG,SIGNET JEWELERS LTD,Consumer Discretionary,129,86.73,,209,87.42,-0.007892930679478383
130,BLBD,BLUE BIRD CORP,Industrials,130,75.91,,417,75.77,0.001847696977695712
131,BELFB,BEL FUSE INC CLASS B,Information Technology,131,304.33,,107,303.115,0.004008379657885586
132,PBFS,PIONEER BANCORP INC,Financials,132,17.05,,848,16.88,0.010071090047393483
133,TCI,TRANSCONTINENTAL REALTY INVESTORS,Real Estate,133,40.18,,70,38.61,0.040663040663040606
134,SPHR,SPHERE ENTERTAINMENT CLASS A,Communication,134,157.24,,396,155.9751,0.008109627754686599
135,APPS,DIGITAL TURBINE INC,Information Technology,135,9.25,,609,9.255,-0.0005402485143166658
136,VSH,VISHAY INTERTECHNOLOGY INC,Information Technology,136,64.27,,1278,64.945,-0.010393409808299281
137,EML,EASTERN,Industrials,137,23.24,,666,23.2,0.0017241379310344307
138,MCRI,MONARCH CASINO AND RESORT INC,Consumer Discretionary,138,129.46,,768,130.725,-0.009676802447886712
139,CVCO,CAVCO INDUSTRIES INC,Consumer Discretionary,139,587.16,,407,592.2,-0.008510638297872464
140,KOP,KOPPERS HOLDINGS INC,Materials,140,44.42,,442,44.045,0.008514019752525748
141,JILL,J JILL INC,Consumer Discretionary,141,14.53,,441,14.51,0.001378359751895264
142,GPGI,GPGI INC CLASS A,Information Technology,142,14.34,,506,14.45,-0.00761245674740485
143,DAKT,DAKTRONICS INC,Information Technology,143,20.89,,94,20.81,0.003844305622296984
144,LIF,LIFE360 INC,Information Technology,144,47.97,,161,49.08,-0.02261613691931541
145,DXPE,DXP ENTERPRISES INC,Industrials,145,169.05,,151,169.36,-0.001830420406235267
146,ZVRA,ZEVRA THERAPEUTICS INC,Health Care,146,12.65,,98,12.66,-0.0007898894154818592
147,RGNX,REGENXBIO INC,Health Care,147,9.07,,326,9.3897,-0.034047946153764164
148,HNI,HNI CORP,Industrials,148,34.16,,139,34.235,-0.0021907404702790068
149,MIRM,MIRUM PHARMACEUTICALS INC,Health Care,149,107.77,,464,109.21,-0.013185605713762483
150,JBLU,JETBLUE AIRWAYS CORP,Industrials,150,5.49,,100,5.655,-0.02917771883289122
151,JBSS,JOHN B SANFILIPPO AND SON INC,Consumer Staples,151,78.88,,316,78.61,0.0034346775219438186
152,SGHC,SUPER GROUP LTD,Consumer Discretionary,152,13.78,,1401,13.7808,-5.8051782189760814e-05
153,DBD,DIEBOLD NIXDORF INC,Information Technology,153,82.88,,429,83.85,-0.011568276684555734
154,RAPP,RAPPORT THERAPEUTICS INC,Health Care,154,38.19,,767,38.615,-0.011006085717985337
155,MITT,TPG MORTGAGE INVESTMENT TRUST INC,Financials,155,7.82,,206,7.89,-0.008871989860582907
156,CIX,COMPX INTERNATIONAL INC CLASS A,Industrials,156,25.76,,900,26.305,-0.020718494582778857
157,RUSHA,RUSH ENTERPRISES INC CLASS A,Industrials,157,70.61,,928,70.19,0.005983758370138315
158,SPB,SPECTRUM BRANDS HOLDINGS INC,Consumer Staples,158,83.29,,339,84.555,-0.01496067648276267
159,ARHS,ARHAUS INC CLASS A,Consumer Discretionary,159,6.95,,31,7.1206,-0.023958655169508125
160,GO,GROCERY OUTLET HOLDING CORP,Consumer Staples,160,9.36,,532,9.29,0.00753498385360607
161,PAYS,PAYSIGN INC,Financials,161,7.34,,9,7.3953,-0.007477722337160042
162,AROC,ARCHROCK INC,Energy,162,38.08,,945,37.61,0.01249667641584673
163,ACLS,AXCELIS TECHNOLOGIES INC,Information Technology,163,183.92,,646,182.67,0.006842940822247678
164,PRG,PROG HOLDINGS INC,Financials,164,38.99,,454,39.3,-0.00788804071246807
165,BNTC,BENITEC BIOPHARMA INC,Health Care,165,12.3,,38,12.415,-0.009262988320579812
166,HNRG,HALLADOR ENERGY,Utilities,166,18.93,,913,18.76,0.009061833688699172
167,WINA,WINMARK CORP,Consumer Discretionary,167,393.64,,52,395.48,-0.004652574087185224
168,AEO,AMERICAN EAGLE OUTFITTERS INC,Consumer Discretionary,168,17.79,,198,17.755,0.0019712756969867407
169,SKT,TANGER INC,Real Estate,169,39.3,,391,39.42,-0.003044140030441511
170,FLG,FLAGSTAR BANK NATIONAL ASSOCIATION,Financials,170,15.03,,364,14.985,0.0030030030030030463
171,LEG,LEGGETT & PLATT INC,Consumer Discretionary,171,10.66,,204,10.725,-0.006060606060605989
172,BHE,BENCHMARK ELECTRONICS INC,Information Technology,172,93.66,,184,93.785,-0.0013328357413232572
173,FVR,FRONTVIEW REIT INC,Real Estate,173,19.71,,435,19.63,0.004075394803871646
174,MTW,MANITOWOC INC,Industrials,174,13.25,,448,13.23,0.0015117157974300355
175,NGNE,NEUROGENE INC,Health Care,175,32.25,,295,32.9,-0.019756838905775065
176,WLY,JOHN WILEY AND SONS INC CLASS A,Communication,176,44.99,,839,46.0087,-0.022141464549096046
177,HBNC,HORIZON BANCORP INC,Financials,177,19.41,,105,19.31,0.005178663904712666
178,SSRM,SSR MINING INC,Materials,178,30.72,,888,30.51,0.006882989183873978
179,EPAC,ENERPAC TOOL GROUP CORP CLASS A,Industrials,179,36.21,,832,36.24,-0.0008278145695364003
180,UNB,UNION BANKSHARES INC,Financials,180,23.92,,1377,23.675,0.010348468848996983
181,ZBIO,ZENAS BIOPHARMA INC,Health Care,181,20.8,,1001,20.55,0.012165450121654597
182,ABG,ASBURY AUTOMOTIVE GROUP INC,Consumer Discretionary,182,196.2,,226,199.005,-0.014095123238109575
183,IDCC,INTERDIGITAL INC,Information Technology,183,297.84,,93,298.09,-0.0008386728840282798
184,THFF,FIRST FINANCIAL CORPORATION CORP,Financials,184,74.04,,110,74.36,-0.004303388918773465
185,NRDY,NERDY INC CLASS A,Consumer Discretionary,185,0.8958,,279,0.88915,0.007479053028172977
186,OBT,ORANGE COUNTY BANCORP INC,Financials,186,36.13,,341,36.53,-0.0109499041883383
187,SI,SHOULDER INNOVATIONS INC,Health Care,187,17.77,,903,17.98,-0.011679644048943283
188,RNAC,CARTESIAN THERAPEUTICS INC,Health Care,188,9.95,,11,9.905,0.004543160020191728
189,OFLX,OMEGA FLEX INC,Industrials,189,30.4,,47,30.68,-0.009126466753585416
190,USAU,US GOLD CORP,Materials,190,15.66,,1075,15.5047,0.01001631763271793
191,GTLS,CHART INDUSTRIES INC,Industrials,191,208.98,,729,208.78,0.0009579461634254827
192,NGVT,INGEVITY CORP,Materials,192,72.74,,566,73.41,-0.009126821958861164
193,VIRC,VIRCO MANUFACTURING CORP,Industrials,193,6.11,,168,6.11,0.0
194,RRR,RED ROCK RESORTS ORS CLASS A INC,Consumer Discretionary,194,60.45,,99,61.15,-0.011447260834014594
195,MG,MISTRAS GROUP INC,Industrials,195,18.74,,565,18.56,0.00969827586206895
196,TGLS,TECNOGLASS INC,Industrials,196,46.17,,210,46.32,-0.0032383419689119286
197,ROAD,CONSTRUCTION PARTNERS INC CLASS A,Industrials,197,127.05,,60,126.84,0.0016556291390728006
198,WRLD,WORLD ACCEPTANCE CORP,Financials,198,181.73,,225,182.46,-0.004000876904527106
199,VYX,NCR VOYIX CORP,Information Technology,199,7.02,,211,7.085,-0.00917431192660556
200,CFBK,CF BANKSHARES INC,Financials,200,30.1,,630,30.0,0.0033333333333334103
201,ESCA,ESCALADE INC,Consumer Discretionary,201,18.66,,817,18.425,0.012754409769335062
202,GIC,GLOBAL INDUSTRIAL,Industrials,202,32.8,,958,32.95,-0.004552352048558639
203,HWBK,HAWTHORN BANCSHARES INC,Financials,203,38.18,,677,38.56,-0.009854771784232441
204,ORRF,ORRSTOWN FINANCIAL SERVICES INC,Financials,204,39.09,,406,39.11,-0.0005113781641522541
205,TBPH,THERAVANCE BIOPHARMA INC,Health Care,205,16.56,,543,16.71,-0.008976660682226356
206,CRI,CARTERS INC,Consumer Discretionary,206,41.57,,361,41.395,0.004227563715424543
207,MEC,MAYVILLE ENGINEERING COMPANY INC,Industrials,207,34.71,,919,34.59,0.003469210754553309
