early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
946,WERN,WERNER ENTERPRISES INC,NASDAQ+RUSSELL2000,Industrials,50.38,72.0,confirmed_bullish_trend,25.0,bearish_proxy,52.71,44.79,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
947,AX,AXOS FINANCIAL INC,RUSSELL2000,Financials,50.38,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,61.4,46.53,11.5,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.4 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
948,ASTH,ASTRANA HEALTH INC,NASDAQ+RUSSELL2000,Health Care,50.37,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,67.25,48.7,13.6,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.9 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
949,GRBK,GREEN BRICK PARTNERS INC,RUSSELL2000,Consumer Discretionary,50.37,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,75.55,49.36,16.19,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
950,NWBI,NORTHWEST BANCSHARES INC,NASDAQ+RUSSELL2000,Financials,50.36,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,61.38,46.53,11.52,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.4 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
951,FFIN,FIRST FINANCIAL BANKSHARES INC,NASDAQ+RUSSELL2000,Financials,50.35,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,60.28,46.31,11.16,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
952,NFBK,NORTHFIELD BANCORP INC,NASDAQ+RUSSELL2000,Financials,50.3,72.0,confirmed_bullish_trend,25.0,bearish_proxy,52.47,44.74,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
953,INDB,INDEPENDENT BANK CORP,NASDAQ+RUSSELL2000,Financials,50.28,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,60.77,46.4,11.4,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.4 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
954,SIGI,SELECTIVE INSURANCE GROUP INC,NASDAQ+RUSSELL2000,Financials,50.28,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,57.24,45.7,10.24,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
955,ITGR,INTEGER HOLDINGS CORP,RUSSELL2000,Health Care,50.26,72.0,confirmed_bullish_trend,25.0,bearish_proxy,51.89,45.63,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
956,SEPN,SEPTERNA INC,NASDAQ+RUSSELL2000,Health Care,50.23,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,57.55,46.76,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
957,ANGO,ANGIODYNAMICS INC,NASDAQ+RUSSELL2000,Health Care,50.22,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,67.57,48.76,13.85,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
958,OSBC,OLD SECOND BANCORP INC,NASDAQ+RUSSELL2000,Financials,50.22,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,57.14,45.68,10.26,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
