early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1742,SEAT,VIVID SEATS INC CLASS A,NASDAQ+RUSSELL2000,Communication,26.71,18.0,bearish_transition,26.35,bearish_proxy,29.04,40.06,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1743,BBAI,BIGBEAR.AI HOLDINGS INC,RUSSELL2000,Information Technology,26.69,15.0,bearish_transition,25.0,bearish_proxy,32.73,40.8,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1744,MLYS,MINERALYS THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,26.66,15.0,bearish_transition,25.0,bearish_proxy,32.18,41.69,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1745,STIM,NEURONETICS INC,NASDAQ+RUSSELL2000,Health Care,26.62,15.0,bearish_transition,25.0,bearish_proxy,32.07,41.66,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1746,OKLO,OKLO INC CLASS A,RUSSELL2000,Utilities,26.62,15.0,bearish_transition,25.0,bearish_proxy,32.08,41.67,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1747,PARR,PAR PACIFIC HOLDINGS INC,RUSSELL2000,Energy,26.61,18.0,bearish_transition,26.35,bearish_proxy,28.73,40.0,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1748,CENX,CENTURY ALUMINUM,NASDAQ+NASDAQ500+RUSSELL2000,Materials,26.55,18.0,bearish_transition,26.35,bearish_proxy,28.55,39.96,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1749,HUMA,HUMACYTE INC,NASDAQ+RUSSELL2000,Health Care,26.54,18.0,bearish_transition,25.0,bearish_proxy,29.1,41.07,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1750,RUM,RUMBLE INC CLASS A,NASDAQ+RUSSELL2000,Communication,26.51,18.0,bearish_transition,26.35,bearish_proxy,28.43,39.94,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1751,TPB,TURNING POINT BRANDS INC,RUSSELL2000,Consumer Staples,26.45,15.0,bearish_transition,25.0,bearish_proxy,31.54,41.56,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1752,INVX,INNOVEX INTERNATIONAL INC,RUSSELL2000,Energy,26.36,15.0,bearish_transition,25.0,bearish_proxy,31.72,40.59,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1753,BAND,BANDWIDTH INC CLASS A,NASDAQ+NASDAQ500+RUSSELL2000,Communication,26.34,15.0,bearish_transition,25.0,bearish_proxy,31.67,40.58,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
1754,YOU,CLEAR SECURE INC CLASS A,RUSSELL2000,Information Technology,26.32,15.0,bearish_transition,25.0,bearish_proxy,31.63,40.58,0.0,2,raw market data; independent of Prism ranking order,EMA: bearish_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
