rank,ticker,first_seen_date,buy_date,latest_date,close,entry_return,exit_score,action,sell_signal,consecutive_signal_days,sell_reasons,drawdown_63d,change_5d,change_20d,rsi14,chart_href
11,IBM,2026-07-02,2026-07-02,2026-08-31,234.740005,-0.1892096783687015,94.0,TRIM,True,35,硬止损: 持仓相对成本约 -18.9%，超过 -7% 防线; 硬止损观察: 未盈利持仓出现新跌破 EMA26; 新鲜破位: 收盘新跌破 EMA26; 动能转弱: RSI 49.4 低于50; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -28.7%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.28700301565157127,0.016014595360553052,0.037249821371126535,49.36635214981077,exit-risk-trends.html#ticker-ibm
12,ARM,2026-07-02,2026-07-02,2026-08-31,241.330002,-0.23455340406798209,92.0,TRIM,True,42,硬止损: 持仓相对成本约 -23.5%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: RSI 41.1 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -45.1%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.4508487531462221,0.010679298980983853,0.009495540947841885,41.08784565348457,exit-risk-trends.html#ticker-arm
13,INTC,2026-07-02,2026-07-02,2026-08-31,90.019997,-0.2520149688743659,92.0,TRIM,True,42,硬止损: 持仓相对成本约 -25.2%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: RSI 42.3 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -36.1%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.3612885219059383,0.03162955462687256,-0.010769263736263746,42.32070668799794,exit-risk-trends.html#ticker-intc
14,MCHP,2026-07-02,2026-07-02,2026-08-31,73.349998,-0.1333884821997694,92.0,TRIM,True,11,硬止损: 持仓相对成本约 -13.3%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: RSI 41.2 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -28.6%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.2858533860953498,-0.011588748303311469,-0.02486044901807427,41.17871876438167,exit-risk-trends.html#ticker-mchp
15,VRT,2026-07-02,2026-07-02,2026-08-31,256.537506,-0.1463830337949057,92.0,TRIM,True,10,硬止损: 持仓相对成本约 -14.6%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: RSI 41.9 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -28.3%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.28333469535705735,0.006147801678049181,-0.024757583338114397,41.94444786969826,exit-risk-trends.html#ticker-vrt
16,NOK,2026-07-02,2026-07-02,2026-07-06,12.51,0.036454018227009,88.0,WATCH,True,41,利润保护: 收盘 $12.51 跌破 3ATR 动态保护线 $14.19; 利润保护: 阶段回撤扩大且价格低于 EMA26; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -24.7%; 动能转弱: RSI 41.6 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -25.8%,-0.2575667655786351,-0.03843197540353571,-0.24729241877256325,41.59827405402243,exit-risk-trends.html#ticker-nok
17,ISRG,2026-07-02,2026-07-02,2026-08-31,373.209991,-0.12394079425504578,86.0,TRIM,True,8,硬止损: 持仓相对成本约 -12.4%，超过 -7% 防线; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: RSI 46.1 低于50; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -13.8%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.13774460594385762,-0.0009637176252214052,-0.005860294016032719,46.1029935070495,exit-risk-trends.html#ticker-isrg
18,GOOG,2026-07-02,2026-07-02,2026-08-31,334.545013,-0.06074170482675045,81.0,TRIM,True,15,硬止损观察: 持仓约 -6.1% 且收盘跌破 EMA26; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -10.2%; 动能转弱: RSI 41.8 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -10.9%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.1087118485353109,-0.02915053575728299,-0.10182024833726155,41.82616137496354,exit-risk-trends.html#ticker-goog
19,WDC,2026-07-02,2026-07-02,2026-08-31,453.38501,-0.15884042671614096,80.0,TRIM,True,10,硬止损: 持仓相对成本约 -15.9%，超过 -7% 防线; 动能转弱: 20日跌幅 -14.0%; 动能转弱: RSI 44.2 低于45; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: EMA26 低于 EMA50; 结构弱势: 63日高点回撤 -39.2%; TRIM: Meta Exit 高风险叠加结构/派发/波动弱项，先降低 call 暴露,-0.3924325983257868,0.041354689680799694,-0.140045834872215,44.19967489307219,exit-risk-trends.html#ticker-wdc
20,IR,2026-06-26,2026-06-30,2026-08-31,78.110001,-0.047322808813826334,77.0,WATCH,True,12,硬止损观察: 持仓约 -4.7% 且收盘跌破 EMA26; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -11.0%; 动能转弱: RSI 37.9 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -13.2%,-0.13211110000000004,-0.023502900950191363,-0.11016174652724708,37.896246274617845,exit-risk-trends.html#ticker-ir
21,TDY,2026-07-02,2026-07-02,2026-08-31,616.60498,-0.05440288933129511,77.0,WATCH,True,9,硬止损观察: 持仓约 -5.4% 且收盘跌破 EMA26; 新鲜破位确认: 价格低于 EMA50，MACD 偏空且 RSI 弱于52; 动能转弱: 20日跌幅 -8.0%; 动能转弱: RSI 34.3 低于45; 动能转弱: MACD 低于 signal; 结构弱势: 收盘低于 EMA50; 结构弱势: EMA9 低于 EMA26; 结构弱势: 63日高点回撤 -10.8%,-0.10805006407724693,-0.013763442198947984,-0.08046262550841876,34.321061651512764,exit-risk-trends.html#ticker-tdy
