early_signal_rank,ticker,name,index,sector,early_signal_score,ema_score,ema_state,macd_score,macd_state,cat_score,prism_score,overheat_penalty,technical_coverage,source_data,signal,risk
1,MQ,MARQETA INC CLASS A,NASDAQ+RUSSELL2000,Financials,84.94,82.0,early_transition,88.8,fresh_above_zero_cross_proxy,100.0,54.25,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: fresh_above_zero_cross_proxy,MACD snapshot proxy; double-cross history unavailable
420,SANA,SANA BIOTECHNOLOGY INC,NASDAQ+RUSSELL2000,Health Care,56.21,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,75.66,50.38,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
421,EVLV,EVOLV TECHNOLOGIES HOLDINGS INC CL,NASDAQ+RUSSELL2000,Information Technology,56.16,82.0,early_transition,49.8,bullish_below_zero_proxy,42.33,42.72,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
422,WWW,WOLVERINE WORLD WIDE INC,RUSSELL2000,Consumer Discretionary,56.13,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,42.26,42.7,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
423,JJSF,J AND J SNACK FOODS CORP,NASDAQ+RUSSELL2000,Consumer Staples,55.98,82.0,early_transition,49.8,bullish_below_zero_proxy,41.34,43.52,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
424,TRIP,TRIPADVISOR INC,NASDAQ+RUSSELL2000,Communication,55.97,72.0,confirmed_bullish_trend,25.0,bearish_proxy,69.63,48.18,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
425,POWW,OUTDOOR HOLDING,NASDAQ+RUSSELL2000,Consumer Discretionary,55.96,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,75.38,49.33,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
426,WEAV,WEAVE COMMUNICATIONS INC,RUSSELL2000,Information Technology,55.96,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,89.19,52.09,15.1,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
427,ORKA,ORUKA THERAPEUTICS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,55.78,72.0,confirmed_bullish_trend,25.0,bearish_proxy,68.6,48.97,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
428,NUVB,NUVATION BIO INC CLASS A,RUSSELL2000,Health Care,55.77,72.0,confirmed_bullish_trend,25.0,bearish_proxy,68.58,48.97,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
429,PLMR,PALOMAR HOLDINGS INC,NASDAQ+RUSSELL2000,Financials,55.76,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,75.71,49.39,10.85,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
430,CXT,CRANE NXT,RUSSELL2000,Information Technology,55.74,72.0,confirmed_bullish_trend,20.0,fresh_bearish_cross_proxy,72.74,48.8,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_bearish_cross_proxy,MACD snapshot proxy; double-cross history unavailable
431,FA,FIRST ADVANTAGE CORP,NASDAQ+RUSSELL2000,Industrials,55.71,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,86.69,51.59,14.53,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
432,TCBK,TRICO BANCSHARES,NASDAQ+RUSSELL2000,Financials,55.65,75.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,92.3,52.71,17.34,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.8 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
433,TRAX,FIRST TRACKS BIOTHERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,55.64,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,55.25,19.14,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 4.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
434,NSP,INSPERITY INC,RUSSELL2000,Industrials,55.63,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,76.44,49.54,11.21,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
435,XRAY,DENTSPLY SIRONA INC,NASDAQ+RUSSELL2000,Health Care,55.57,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,74.79,50.21,10.89,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
436,PRAX,PRAXIS PRECISION MEDICINES INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,55.56,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,73.71,49.99,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
437,LRMR,LARIMAR THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,55.5,82.0,early_transition,49.8,bullish_below_zero_proxy,39.87,43.22,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
438,MYE,MYERS INDUSTRIES INC,RUSSELL2000,Materials,55.29,72.0,confirmed_bullish_trend,25.0,bearish_proxy,67.6,47.77,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
439,ATEX,ANTERIX INC,NASDAQ+RUSSELL2000,Communication,55.26,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,78.56,49.96,12.29,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.6 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
440,CARG,CARGURUS INC CLASS A,NASDAQ+RUSSELL2000,Communication,55.26,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,73.24,48.9,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
441,FLYW,FLYWIRE CORP,NASDAQ+RUSSELL2000,Financials,55.23,72.0,confirmed_bullish_trend,20.0,fresh_bearish_cross_proxy,71.19,48.49,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_bearish_cross_proxy,MACD snapshot proxy; double-cross history unavailable
442,ASAN,ASANA INC CLASS A,RUSSELL2000,Information Technology,55.23,72.0,confirmed_bullish_trend,61.8,bullish_above_signal_proxy,39.52,42.15,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
443,EVH,EVOLENT HEALTH INC CLASS A,RUSSELL2000,Health Care,55.2,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,74.37,50.12,11.12,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
444,KLC,KINDERCARE LEARNING COMPANIES INC,RUSSELL2000,Consumer Discretionary,55.19,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,74.53,49.16,11.03,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
445,DLO,DLOCAL CLASS A,NASDAQ+RUSSELL2000,Financials,55.18,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,74.63,49.18,11.07,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
446,EIKN,EIKON THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,55.11,82.0,early_transition,25.0,bearish_proxy,57.49,46.75,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
447,WAY,WAYSTAR HOLDING CORP,NASDAQ+RUSSELL2000,Health Care,55.1,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,72.3,49.71,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
448,LIND,LINDBLAD EXPEDITIONS HOLDINGS INC,NASDAQ+RUSSELL2000,Consumer Discretionary,55.08,72.0,confirmed_bullish_trend,25.0,bearish_proxy,66.94,47.64,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
449,BRZE,BRAZE INC CLASS A,NASDAQ+RUSSELL2000,Information Technology,55.07,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,77.43,49.74,12.11,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
450,BV,BRIGHTVIEW HOLDINGS INC,RUSSELL2000,Industrials,55.06,72.0,confirmed_bullish_trend,25.0,bearish_proxy,66.89,47.63,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
451,ABSI,ABSCI CORP,NASDAQ+RUSSELL2000,Health Care,55.04,35.0,mixed_sideways,25.0,bearish_proxy,100.0,55.25,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
452,NVCT,NUVECTIS PHARMA INC,NASDAQ+RUSSELL2000,Health Care,55.04,35.0,mixed_sideways,25.0,bearish_proxy,100.0,55.25,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
453,SLS,SELLAS LIFE SCIENCES GROUP INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,55.04,35.0,mixed_sideways,25.0,bearish_proxy,100.0,55.25,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
454,QNST,QUINSTREET INC,NASDAQ+RUSSELL2000,Communication,55.02,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,98.67,53.98,19.17,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 4.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
455,SRRK,SCHOLAR ROCK HOLDING CORP,NASDAQ+RUSSELL2000,Health Care,55.01,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,72.05,49.66,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
456,HNI,HNI CORP,RUSSELL2000,Industrials,54.99,72.0,confirmed_bullish_trend,20.0,fresh_bearish_cross_proxy,70.47,48.34,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_bearish_cross_proxy,MACD snapshot proxy; double-cross history unavailable
457,SLDE,SLIDE INSURANCE HOLDINGS INC,NASDAQ+RUSSELL2000,Financials,54.98,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,78.81,50.01,12.66,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.7 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
458,ACHC,ACADIA HEALTHCARE COMPANY INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,54.87,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,71.62,49.57,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
459,RM,REGIONAL MANAGEMENT CORP,RUSSELL2000,Financials,54.85,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,74.0,49.05,11.2,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
460,PD,PAGERDUTY INC,RUSSELL2000,Information Technology,54.84,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,77.89,49.83,12.48,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.6 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
461,IPAR,INTERPARFUMS INC,NASDAQ+RUSSELL2000,Consumer Staples,54.83,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,71.67,49.58,10.6,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.1 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
462,PRTH,PRIORITY TECHNOLOGY HOLDINGS INC,NASDAQ+RUSSELL2000,Financials,54.8,72.0,confirmed_bullish_trend,25.0,bearish_proxy,66.11,47.47,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
463,CRNX,CRINETICS PHARMACEUTICALS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,54.77,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,55.25,20.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 8.9 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
464,FBRX,FORTE BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,54.77,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,55.25,20.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 4.8 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
465,CTNM,CONTINEUM THERAPEUTICS INC CLASS A,NASDAQ+RUSSELL2000,Health Care,54.67,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,71.02,49.45,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
466,RPD,RAPID7 INC,NASDAQ+RUSSELL2000,Information Technology,54.62,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,54.25,20.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 4.7 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
467,PBF,PBF ENERGY INC CLASS A,RUSSELL2000,Energy,54.62,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,100.0,54.25,20.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 4.5 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
468,DFTX,DEFINIUM THERAPEUTICS INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,54.59,72.0,confirmed_bullish_trend,22.75,bearish_proxy,100.0,55.25,10.98,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,EMA extension 2.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
469,OOMA,OOMA INC,RUSSELL2000,Information Technology,54.53,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,71.59,48.57,10.72,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
470,HRTG,HERITAGE INSURANCE HOLDINGS INC,RUSSELL2000,Financials,54.51,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,77.27,49.7,12.62,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.7 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
471,ACAD,ACADIA PHARMACEUTICALS INC,NASDAQ+RUSSELL2000,Health Care,54.46,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,70.36,49.32,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
472,CERT,CERTARA INC,NASDAQ+RUSSELL2000,Health Care,54.42,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,70.25,49.3,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
473,SI,SHOULDER INNOVATIONS INC,RUSSELL2000,Health Care,54.38,72.0,confirmed_bullish_trend,25.0,bearish_proxy,64.38,48.13,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
474,ADPT,ADAPTIVE BIOTECHNOLOGIES CORP,NASDAQ+RUSSELL2000,Health Care,54.37,72.0,confirmed_bullish_trend,25.0,bearish_proxy,64.35,48.12,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
475,ASTH,ASTRANA HEALTH INC,NASDAQ+RUSSELL2000,Health Care,54.37,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,73.14,49.88,11.54,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.4 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
476,CBRL,CRACKER BARREL OLD COUNTRY STORE I,NASDAQ+RUSSELL2000,Consumer Discretionary,54.36,72.0,confirmed_bullish_trend,25.0,bearish_proxy,64.76,47.2,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
477,UTI,UNIVERSAL TECHNICAL INSTITUTE INC,RUSSELL2000,Consumer Discretionary,54.3,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,70.88,48.43,10.71,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.2 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
478,XMTR,XOMETRY INC CLASS A,NASDAQ+NASDAQ500+RUSSELL2000,Industrials,54.28,72.0,confirmed_bullish_trend,25.0,bearish_proxy,64.54,47.16,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
479,PUBM,PUBMATIC INC CLASS A,NASDAQ+RUSSELL2000,Communication,54.27,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,72.19,48.69,11.18,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.3 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
480,GOOD,GLADSTONE COMMERCIAL REIT CORP,NASDAQ+RUSSELL2000,Real Estate,54.24,72.0,confirmed_bullish_trend,49.8,bullish_below_zero_proxy,45.61,43.37,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
481,NEXT,NEXTDECADE CORP,NASDAQ+RUSSELL2000,Energy,54.24,72.0,confirmed_bullish_trend,49.8,bullish_below_zero_proxy,45.61,43.37,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
482,GCBC,GREENE COUNTY BANCORP INC,NASDAQ+RUSSELL2000,Financials,54.18,72.0,confirmed_bullish_trend,25.0,bearish_proxy,64.21,47.09,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
483,FLXS,FLEXSTEEL INDUSTRIES INC,NASDAQ+RUSSELL2000,Consumer Discretionary,54.17,72.0,confirmed_bullish_trend,25.0,bearish_proxy,64.19,47.09,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
484,LRN,STRIDE INC,RUSSELL2000,Consumer Discretionary,54.16,82.0,early_transition,49.8,bullish_below_zero_proxy,36.28,41.51,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bullish_below_zero_proxy,MACD snapshot proxy; double-cross history unavailable
485,MAZE,MAZE THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,54.14,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,69.39,49.13,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
486,ACIW,ACI WORLDWIDE INC,NASDAQ+RUSSELL2000,Information Technology,54.1,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,80.22,50.29,13.99,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
487,ALG,ALAMO GROUP INC,RUSSELL2000,Industrials,54.09,82.0,early_transition,25.0,bearish_proxy,54.85,45.22,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
488,MAN,MANPOWER INC,RUSSELL2000,Industrials,54.06,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,68.12,47.87,10.05,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 2.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
489,CSTL,CASTLE BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,54.0,82.0,early_transition,20.0,fresh_bearish_cross_proxy,57.9,46.83,0.0,2,raw market data; independent of Prism ranking order,EMA: early_transition; MACD: fresh_bearish_cross_proxy,MACD snapshot proxy; double-cross history unavailable
490,NIC,NICOLET BANKSHARES INC,RUSSELL2000,Financials,53.97,72.0,confirmed_bullish_trend,25.0,bearish_proxy,63.58,46.97,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
491,ETON,ETON PHARMACEUTCIALS INC,NASDAQ+RUSSELL2000,Health Care,53.96,72.0,confirmed_bullish_trend,20.0,fresh_bearish_cross_proxy,66.87,48.62,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: fresh_bearish_cross_proxy,MACD snapshot proxy; double-cross history unavailable
492,RBB,RBB BANCORP,NASDAQ+RUSSELL2000,Financials,53.92,72.0,confirmed_bullish_trend,25.0,bearish_proxy,63.43,46.94,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
493,ONT,ONTERRIS INC,RUSSELL2000,Industrials,53.91,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,69.17,48.08,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
494,CADL,CANDEL THERAPEUTICS INC,NASDAQ+RUSSELL2000,Health Care,53.85,72.0,confirmed_bullish_trend,25.0,bearish_proxy,62.75,47.8,0.0,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bearish_proxy,MACD snapshot proxy; double-cross history unavailable
495,ALXO,ALX ONCOLOGY HOLDINGS INC,NASDAQ+RUSSELL2000,Health Care,53.82,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,68.44,48.94,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
496,CERS,CERUS CORP,NASDAQ+RUSSELL2000,Health Care,53.8,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,68.38,48.93,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
497,PCVX,VAXCYTE INC,NASDAQ+NASDAQ500+RUSSELL2000,Health Care,53.8,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,68.38,48.93,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
498,MBX,MBX BIOSCIENCES INC,NASDAQ+RUSSELL2000,Health Care,53.79,35.0,mixed_sideways,20.0,fresh_bearish_cross_proxy,100.0,55.25,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: fresh_bearish_cross_proxy,MACD snapshot proxy; double-cross history unavailable
499,TOI,ONCOLOGY INSTITUTE INC,NASDAQ+RUSSELL2000,Health Care,53.73,72.0,confirmed_bullish_trend,59.55,bullish_above_signal_proxy,78.33,50.92,13.89,2,raw market data; independent of Prism ranking order,EMA: confirmed_bullish_trend; MACD: bullish_above_signal_proxy,EMA extension 3.0 ATR; MACD setup extended; MACD snapshot proxy; double-cross history unavailable
500,VRDN,VIRIDIAN THERAPEUTICS ORS INC,NASDAQ+RUSSELL2000,Health Care,53.7,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,68.05,48.86,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
501,GERN,GERON CORP,NASDAQ+RUSSELL2000,Health Care,53.68,35.0,mixed_sideways,61.8,bullish_above_signal_proxy,68.0,48.85,0.0,2,raw market data; independent of Prism ranking order,EMA: mixed_sideways; MACD: bullish_above_signal_proxy,MACD snapshot proxy; double-cross history unavailable
