rank,ticker,name,sector,aster_call_score,call_bias,latest_price,rsi14,volume_ratio,return_3_blocks,return_1w,return_1m,call_timing_score,call_daily_score,call_momentum_score,call_pullback_score,call_volume_score,call_practicality_score,ema_state,macd_state,call_note,confirmation_layer,confirmation_hit,confirmation_score,model_data_date
36,VLGEA,VILLAGE SUPER MARKET INC CLASS A,Consumer Staples,0.0,Deep v3 Daily CNN 确认层 数据不足,44.560001,62.44,0.93,0.03351499,0.02720147,0.03495531,92.8,79.14,100.0,80.89,68.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
37,KR,Kroger,Consumer Staples,0.0,Deep v3 Daily CNN 确认层 数据不足,60.889999,67.75,1.18,0.04049896,0.03916713,0.06358077,98.2,76.08,91.6,80.44,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
38,IBEX,IBEX LTD,Industrials,0.0,Deep v3 Daily CNN 确认层 数据不足,40.490002,64.86,1.29,0.04882792,0.03449165,0.12597339,82.9,68.7,91.6,80.89,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
39,MTCH,"Match Group, Inc. - Common Stock",,0.0,Deep v3 Daily CNN 确认层 数据不足,43.150002,63.5,1.1,0.00841320,0.03081703,0.15745717,82.9,67.84,100.0,81.12,100.0,100.0,confirmed_bullish_trend,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
40,HCKT,HACKETT GROUP,Information Technology,0.0,Deep v3 Daily CNN 确认层 数据不足,11.49,61.08,0.99,0.05509642,0.02589286,0.02956989,98.2,66.06,91.6,80.89,68.0,72.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
41,ECBK,ECB BANCORP INC,Financials,0.0,Deep v3 Daily CNN 确认层 数据不足,21.08,56.04,0.09,0.00764818,0.02529188,0.01419293,98.2,65.99,88.8,80.89,30.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
42,CRVL,CORVEL,Health Care,0.0,Deep v3 Daily CNN 确认层 数据不足,72.18,68.88,1.11,0.05103745,0.05975626,0.12167836,90.2,58.4,91.6,62.0,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
43,LMB,LIMBACH HOLDINGS INC,Industrials,0.0,Deep v3 Daily CNN 确认层 数据不足,51.18,62.93,1.15,0.00986582,0.02647411,0.15791853,87.7,58.38,100.0,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
44,ACN,Accenture,Information Technology,0.0,Deep v3 Daily CNN 确认层 数据不足,195.020004,64.74,1.2,0.07626936,0.04456351,0.09254904,98.2,57.27,91.6,80.0,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
45,DOX,Amdocs Limited - Ordinary Shares,,0.0,Deep v3 Daily CNN 确认层 数据不足,63.169998,60.11,1.01,0.02824118,0.01559481,0.07688370,98.2,54.48,100.0,81.12,68.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
46,AVBC,AVIDIA BANCORP INC,Financials,0.0,Deep v3 Daily CNN 确认层 数据不足,22.219999,57.5,1.27,0.01926606,0.00497503,0.00634053,92.8,54.38,77.6,80.89,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
47,EFOR,EVERFORTH,Information Technology,0.0,Deep v3 Daily CNN 确认层 数据不足,34.049999,66.23,1.3,0.09380020,0.04576161,0.01793716,98.2,54.08,67.2,80.89,100.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
48,TTEK,"Tetra Tech, Inc. - Common Stock",,0.0,Deep v3 Daily CNN 确认层 数据不足,36.709999,60.3,1.39,0.01873176,0.02199335,0.00782430,92.8,53.73,88.8,81.12,100.0,100.0,fresh_bullish_cross,fresh_below_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
49,NGVC,NATURAL GROCERS BY VITAMIN COTTAGE,Consumer Staples,0.0,Deep v3 Daily CNN 确认层 数据不足,29.344999,63.92,1.63,0.02712632,0.05066233,0.04654058,87.7,48.68,100.0,80.0,100.0,100.0,early_transition,bullish_above_signal,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
50,KRT,KARAT PACKAGING INC,Industrials,0.0,Deep v3 Daily CNN 确认层 数据不足,49.16,60.53,2.53,0.04373677,0.01633246,0.02759197,98.2,41.21,91.6,80.0,66.0,100.0,fresh_bullish_cross,fresh_above_zero_cross,Deep v3 Daily CNN 确认层 收盘推理：缺少本次市场最新交易日行情，不参与当天确认,Deep v3 Daily CNN 确认层,no,0.0,
